"",BBFN1.M.DE.N.1.A.GB.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.GB.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / United Kingdom,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:03,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,6.231,
1995-01,6.301,
1995-02,6.353,
1995-03,6.642,
1995-04,6.597,
1995-05,6.550,
1995-06,6.735,
1995-07,6.363,
1995-08,6.129,
1995-09,6.270,
1995-10,6.141,
1995-11,6.328,
1995-12,5.792,
1996-01,5.704,
1996-02,5.868,
1996-03,6.106,
1996-04,5.852,
1996-05,5.736,
1996-06,5.920,
1996-07,6.013,
1996-08,5.662,
1996-09,5.706,
1996-10,5.965,
1996-11,6.337,
1996-12,6.386,
1997-01,5.881,
1997-02,6.240,
1997-03,6.581,
1997-04,6.709,
1997-05,6.762,
1997-06,7.041,
1997-07,7.027,
1997-08,6.358,
1997-09,6.806,
1997-10,7.356,
1997-11,7.738,
1997-12,6.460,
1998-01,6.569,
1998-02,6.793,
1998-03,6.998,
1998-04,7.461,
1998-05,7.308,
1998-06,7.362,
1998-07,7.088,
1998-08,6.814,
1998-09,7.139,
1998-10,7.484,
1998-11,7.452,
1998-12,6.902,
1999-01,6.607,
1999-02,6.778,
1999-03,7.298,
1999-04,7.177,
1999-05,7.047,
1999-06,7.300,
1999-07,7.241,
1999-08,7.658,
1999-09,8.220,
1999-10,8.138,
1999-11,8.380,
1999-12,8.308,
2000-01,8.148,
2000-02,8.595,
2000-03,9.034,
2000-04,8.865,
2000-05,8.775,
2000-06,9.010,
2000-07,8.679,
2000-08,9.022,
2000-09,9.203,
2000-10,9.406,
2000-11,9.519,
2000-12,8.783,
2001-01,8.933,
2001-02,9.085,
2001-03,9.183,
2001-04,8.826,
2001-05,9.069,
2001-06,9.195,
2001-07,9.759,
2001-08,9.766,
2001-09,9.905,
2001-10,10.155,
2001-11,9.952,
2001-12,9.494,
2002-01,9.476,
2002-02,9.201,
2002-03,9.333,
2002-04,9.569,
2002-05,9.438,
2002-06,10.117,
2002-07,9.431,
2002-08,9.153,
2002-09,9.670,
2002-10,9.848,
2002-11,9.803,
2002-12,9.324,
2003-01,9.386,
2003-02,9.181,
2003-03,9.484,
2003-04,9.850,
2003-05,8.991,
2003-06,9.228,
2003-07,9.079,
2003-08,8.640,
2003-09,9.110,
2003-10,9.072,
2003-11,9.328,
2003-12,8.900,
2004-01,8.860,
2004-02,8.511,
2004-03,9.017,
2004-04,8.645,
2004-05,8.721,
2004-06,9.449,
2004-07,9.417,
2004-08,8.768,
2004-09,9.388,
2004-10,10.107,
2004-11,10.228,
2004-12,9.390,
2005-01,9.132,
2005-02,9.020,
2005-03,9.836,
2005-04,9.358,
2005-05,9.438,
2005-06,9.742,
2005-07,10.667,
2005-08,10.144,
2005-09,10.948,
2005-10,10.694,
2005-11,11.165,
2005-12,10.586,
2006-01,11.612,
2006-02,11.481,
2006-03,11.615,
2006-04,11.169,
2006-05,10.891,
2006-06,11.460,
2006-07,11.534,
2006-08,11.236,
2006-09,11.818,
2006-10,12.144,
2006-11,12.957,
2006-12,12.897,
2007-01,13.082,
2007-02,12.893,
2007-03,12.875,
2007-04,11.898,
2007-05,11.801,
2007-06,12.170,
2007-07,11.426,
2007-08,11.095,
2007-09,11.769,
2007-10,11.819,
2007-11,11.517,
2007-12,10.978,
2008-01,11.230,
2008-02,11.576,
2008-03,12.062,
2008-04,11.816,
2008-05,12.115,
2008-06,12.716,
2008-07,12.600,
2008-08,11.395,
2008-09,11.204,
2008-10,10.816,
2008-11,10.446,
2008-12,9.992,
2009-01,9.280,
2009-02,12.753,
2009-03,13.201,
2009-04,10.837,
2009-05,12.746,
2009-06,14.136,
2009-07,14.524,
2009-08,12.563,
2009-09,12.951,
2009-10,12.943,
2009-11,13.737,
2009-12,14.463,
2010-01,8.975,
2010-02,8.530,
2010-03,9.119,
2010-04,8.636,
2010-05,9.177,
2010-06,9.427,
2010-07,9.275,
2010-08,9.048,
2010-09,10.274,
2010-10,10.458,
2010-11,10.501,
2010-12,10.409,
2011-01,9.796,
2011-02,10.852,
2011-03,10.714,
2011-04,9.949,
2011-05,9.698,
2011-06,9.295,
2011-07,9.725,
2011-08,9.203,
2011-09,9.850,
2011-10,9.921,
2011-11,10.365,
2011-12,10.144,
2012-01,10.011,
2012-02,10.866,
2012-03,10.955,
2012-04,10.695,
2012-05,10.309,
2012-06,10.128,
2012-07,10.744,
2012-08,10.499,
2012-09,10.822,
2012-10,10.966,
2012-11,11.314,
2012-12,11.302,
2013-01,10.865,
2013-02,11.141,
2013-03,11.452,
2013-04,10.648,
2013-05,10.318,
2013-06,10.611,
2013-07,10.186,
2013-08,10.426,
2013-09,11.941,
2013-10,11.830,
2013-11,12.150,
2013-12,11.914,
2014-01,11.982,
2014-02,11.783,
2014-03,12.394,
2014-04,12.418,
2014-05,11.775,
2014-06,12.799,
2014-07,12.450,
2014-08,12.208,
2014-09,12.898,
2014-10,12.585,
2014-11,12.599,
2014-12,12.738,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
