"",BBK01.OEAN01V,BBK01.OEAN01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:22,
2002-01,22.937,
2002-04,22.182,
2002-07,22.187,
2002-10,22.884,
2003-01,22.948,
2003-04,22.674,
2003-07,22.646,
2003-10,23.080,
2004-01,22.970,
2004-04,22.896,
2004-07,22.875,
2004-10,23.420,
2005-01,24.984,
2005-04,24.810,
2005-07,24.571,
2005-10,24.815,
2006-01,24.691,
2006-04,24.419,
2006-07,24.078,
2006-10,24.292,
2007-01,24.216,
2007-04,23.835,
2007-07,23.612,
2007-10,23.936,
2008-01,23.661,
2008-04,23.263,
2008-07,22.894,
2008-10,23.690,
2009-01,23.855,
2009-04,23.872,
2009-07,23.895,
2009-10,24.257,
2010-01,24.303,
2010-04,24.194,
2010-07,24.245,
2010-10,24.553,
2011-01,24.557,
2011-04,24.421,
2011-07,24.360,
2011-10,24.528,
2012-01,24.700,
2012-04,24.780,
2012-07,24.921,
2012-10,25.158,
2013-01,25.049,
2013-04,24.830,
2013-07,24.702,
2013-10,24.833,
2014-01,24.898,
2014-04,24.756,
2014-07,24.911,
