"",BBEX3.M.RUB.EUR.BB.AC.A02,BBEX3.M.RUB.EUR.BB.AC.A02_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = RUB ... / Russian Federation,
unit,RUB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:49,
1999-01,26.6898,
1999-02,25.8981,
1999-03,26.3315,
1999-04,27.2279,
1999-05,26.2592,
1999-06,25.3653,
1999-07,25.2212,
1999-08,26.2467,
1999-09,26.8310,
1999-10,27.6404,
1999-11,27.2798,
1999-12,27.2401,
2000-01,28.6933,
2000-02,28.2890,
2000-03,27.4665,
2000-04,27.0982,
2000-05,25.6577,
2000-06,26.8087,
2000-07,26.1617,
2000-08,25.1098,
2000-09,24.2581,
2000-10,23.8619,
2000-11,23.8394,
2000-12,25.1839,
2001-01,26.6571,
2001-02,26.3969,
2001-03,26.1181,
2001-04,25.7716,
2001-05,25.4015,
2001-06,24.8784,
2001-07,25.1728,
2001-08,26.4478,
2001-09,26.8398,
2001-10,26.7850,
2001-11,26.4966,
2001-12,26.9188,
2002-01,27.0158,
2002-02,26.8549,
2002-03,27.2394,
2002-04,27.6438,
2002-05,28.6799,
2002-06,30.0507,
2002-07,31.3001,
2002-08,30.8868,
2002-09,31.0436,
2002-10,31.1150,
2002-11,31.8774,
2002-12,32.4540,
2003-01,33.8235,
2003-02,34.1161,
2003-03,33.9871,
2003-04,33.8484,
2003-05,35.7966,
2003-06,35.5300,
2003-07,34.5199,
2003-08,33.8234,
2003-09,34.3390,
2003-10,35.2199,
2003-11,34.8710,
2003-12,36.1254,
2004-01,36.3566,
2004-02,36.0680,
2004-03,34.9881,
2004-04,34.4389,
2004-05,34.8016,
2004-06,35.2408,
2004-07,35.6777,
2004-08,35.5859,
2004-09,35.7002,
2004-10,36.3001,
2004-11,37.1185,
2004-12,37.4162,
2005-01,36.6704,
2005-02,36.3910,
2005-03,36.4789,
2005-04,35.9794,
2005-05,35.4730,
2005-06,34.6951,
2005-07,34.5513,
2005-08,35.0119,
2005-09,34.7750,
2005-10,34.3262,
2005-11,33.9184,
2005-12,34.1538,
2006-01,34.3284,
2006-02,33.6802,
2006-03,33.4973,
2006-04,33.7987,
2006-05,34.5386,
2006-06,34.1587,
2006-07,34.1393,
2006-08,34.2755,
2006-09,34.0549,
2006-10,33.8849,
2006-11,34.2602,
2006-12,34.7316,
2007-01,34.4578,
2007-02,34.4060,
2007-03,34.5680,
2007-04,34.9054,
2007-05,34.8999,
2007-06,34.7739,
2007-07,35.0292,
2007-08,34.9211,
2007-09,35.1723,
2007-10,35.4008,
2007-11,35.9174,
2007-12,35.7927,
2008-01,36.0300,
2008-02,36.1357,
2008-03,36.8259,
2008-04,37.0494,
2008-05,36.9042,
2008-06,36.7723,
2008-07,36.8261,
2008-08,36.2502,
2008-09,36.3727,
2008-10,35.2144,
2008-11,34.7964,
2008-12,37.8999,
2009-01,42.3282,
2009-02,45.8079,
2009-03,45.1451,
2009-04,44.2135,
2009-05,43.5678,
2009-06,43.5553,
2009-07,44.3881,
2009-08,45.1972,
2009-09,44.7624,
2009-10,43.6188,
2009-11,43.1835,
2009-12,43.9019,
2010-01,42.5749,
2010-02,41.2845,
2010-03,40.1219,
2010-04,39.1335,
2010-05,38.2707,
2010-06,38.1507,
2010-07,39.1317,
2010-08,39.1898,
2010-09,40.2564,
2010-10,42.1471,
2010-11,42.3360,
2010-12,40.7385,
2011-01,40.2557,
2011-02,39.9469,
2011-03,39.8061,
2011-04,40.5363,
2011-05,40.0573,
2011-06,40.2670,
2011-07,39.8343,
2011-08,41.2954,
2011-09,42.3239,
2011-10,42.8569,
2011-11,41.8082,
2011-12,41.5686,
2012-01,40.4394,
2012-02,39.4232,
2012-03,38.7804,
2012-04,38.8087,
2012-05,39.5585,
2012-06,41.1766,
2012-07,39.9467,
2012-08,39.6334,
2012-09,40.4006,
2012-10,40.3558,
2012-11,40.2505,
2012-12,40.3114,
2013-01,40.1847,
2013-02,40.3342,
2013-03,39.9332,
2013-04,40.7995,
2013-05,40.6842,
2013-06,42.6490,
2013-07,42.8590,
2013-08,43.9748,
2013-09,43.5144,
2013-10,43.7440,
2013-11,44.1581,
2013-12,45.0628,
2014-01,46.0304,
2014-02,48.2554,
2014-03,49.9477,
2014-04,49.2978,
2014-05,47.8403,
2014-06,46.7509,
2014-07,46.9984,
2014-08,48.1781,
2014-09,49.0519,
2014-10,51.9380,
2014-11,57.5193,
2014-12,70.3269,
2015-01,75.0459,
2015-02,73.0742,
"","General: Up to March 2005, ECB indicative rates. Since April 2005 euro foreign exchange reference rates of the ECB, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
"",Methodology: Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
