"",BBK01.OEAD11I,BBK01.OEAD11I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:03,
2002-01,1.254,
2002-04,1.121,
2002-07,1.245,
2002-10,0.992,
2003-01,0.941,
2003-04,0.941,
2003-07,0.998,
2003-10,0.938,
2004-01,0.886,
2004-04,0.915,
2004-07,0.764,
2004-10,0.787,
2005-01,0.796,
2005-04,0.821,
2005-07,0.806,
2005-10,0.728,
2006-01,0.710,
2006-04,0.683,
2006-07,0.805,
2006-10,0.732,
2007-01,0.720,
2007-04,0.772,
2007-07,0.749,
2007-10,0.698,
2008-01,0.852,
2008-04,0.894,
2008-07,0.846,
2008-10,0.773,
2009-01,0.691,
2009-04,0.691,
2009-07,0.656,
2009-10,0.563,
2010-01,0.598,
2010-04,0.579,
2010-07,0.571,
2010-10,0.492,
2011-01,0.596,
2011-04,0.533,
2011-07,0.532,
2011-10,0.445,
2012-01,0.514,
2012-04,0.520,
2012-07,0.545,
2012-10,0.523,
2013-01,0.542,
2013-04,0.544,
2013-07,0.576,
2013-10,0.525,
2014-01,0.537,
2014-04,0.569,
2014-07,0.531,
