"",BBK01.OEAH21N,BBK01.OEAH21N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:19,
2002-01,58.477,
2002-04,58.689,
2002-07,59.476,
2002-10,60.592,
2003-01,62.892,
2003-04,63.524,
2003-07,65.163,
2003-10,59.704,
2004-01,60.857,
2004-04,64.526,
2004-07,66.354,
2004-10,59.211,
2005-01,63.837,
2005-04,65.023,
2005-07,65.534,
2005-10,68.053,
2006-01,71.061,
2006-04,75.269,
2006-07,79.072,
2006-10,82.711,
2007-01,85.313,
2007-04,88.433,
2007-07,90.612,
2007-10,91.422,
2008-01,93.515,
2008-04,95.176,
2008-07,87.966,
2008-10,88.699,
2009-01,90.246,
2009-04,92.501,
2009-07,93.603,
2009-10,93.661,
2010-01,96.562,
2010-04,93.349,
2010-07,93.133,
2010-10,92.903,
2011-01,92.852,
2011-04,92.997,
2011-07,92.755,
2011-10,93.136,
2012-01,92.618,
2012-04,91.368,
2012-07,90.513,
2012-10,87.799,
2013-01,90.298,
2013-04,89.770,
2013-07,87.490,
2013-10,87.372,
2014-01,85.818,
2014-04,83.375,
2014-07,85.619,
