"",BBK01.CEF50J,BBK01.CEF50J_FLAGS
"",Equity and investment fund shares or units  debtor: Total           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:11,
1999-01,774.3,
1999-04,787.1,
1999-07,755.5,
1999-10,906.8,
2000-01,972.9,
2000-04,952.1,
2000-07,952.2,
2000-10,943.9,
2001-01,898.2,
2001-04,897.1,
2001-07,807.2,
2001-10,928.5,
2002-01,939.9,
2002-04,869.5,
2002-07,740.5,
2002-10,752.8,
2003-01,724.0,
2003-04,779.9,
2003-07,784.6,
2003-10,848.9,
2004-01,847.5,
2004-04,854.9,
2004-07,847.2,
2004-10,863.6,
2005-01,893.3,
2005-04,926.9,
2005-07,964.3,
2005-10,992.3,
2006-01,972.8,
2006-04,927.5,
2006-07,917.8,
2006-10,947.6,
2007-01,987.0,
2007-04,1016.3,
2007-07,1006.3,
2007-10,1013.7,
2008-01,939.6,
2008-04,922.7,
2008-07,870.5,
2008-10,735.9,
2009-01,682.6,
2009-04,715.7,
2009-07,754.6,
2009-10,778.1,
2010-01,796.0,
2010-04,787.2,
2010-07,782.7,
2010-10,817.2,
2011-01,819.3,
2011-04,815.6,
2011-07,738.5,
2011-10,759.3,
2012-01,801.1,
2012-04,773.7,
2012-07,803.8,
2012-10,820.2,
2013-01,845.5,
2013-04,835.6,
2013-07,857.2,
2013-10,885.9,
2014-01,901.6,
2014-04,923.4,
2014-07,928.9,
