"",BBDE1.M.DE.Y.BAA1.A2Q501000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2Q501000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Intermediate and capital goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:30:03,
1991-01,79.7,
1991-02,78.3,
1991-03,78.0,
1991-04,77.4,
1991-05,76.4,
1991-06,79.7,
1991-07,77.0,
1991-08,76.5,
1991-09,75.7,
1991-10,77.0,
1991-11,78.1,
1991-12,78.5,
1992-01,79.4,
1992-02,80.5,
1992-03,78.4,
1992-04,78.1,
1992-05,77.7,
1992-06,76.3,
1992-07,74.6,
1992-08,74.9,
1992-09,74.1,
1992-10,73.8,
1992-11,72.9,
1992-12,71.4,
1993-01,70.3,
1993-02,69.0,
1993-03,69.2,
1993-04,68.7,
1993-05,68.8,
1993-06,68.0,
1993-07,66.5,
1993-08,69.8,
1993-09,69.1,
1993-10,69.3,
1993-11,68.4,
1993-12,69.6,
1994-01,68.8,
1994-02,70.6,
1994-03,70.3,
1994-04,71.5,
1994-05,71.3,
1994-06,71.5,
1994-07,71.3,
1994-08,71.3,
1994-09,73.0,
1994-10,74.3,
1994-11,74.4,
1994-12,75.2,
1995-01,72.2,
1995-02,73.8,
1995-03,73.2,
1995-04,73.4,
1995-05,74.0,
1995-06,73.3,
1995-07,72.9,
1995-08,71.9,
1995-09,73.9,
1995-10,71.4,
1995-11,72.1,
1995-12,72.8,
1996-01,72.2,
1996-02,71.3,
1996-03,71.8,
1996-04,71.6,
1996-05,72.4,
1996-06,72.7,
1996-07,71.9,
1996-08,73.2,
1996-09,73.9,
1996-10,72.9,
1996-11,74.2,
1996-12,74.2,
1997-01,72.9,
1997-02,74.1,
1997-03,74.9,
1997-04,74.9,
1997-05,74.2,
1997-06,77.0,
1997-07,78.2,
1997-08,75.6,
1997-09,76.4,
1997-10,77.6,
1997-11,78.1,
1997-12,79.0,
1998-01,79.5,
1998-02,79.6,
1998-03,80.7,
1998-04,79.7,
1998-05,80.5,
1998-06,79.7,
1998-07,81.7,
1998-08,80.1,
1998-09,79.0,
1998-10,79.9,
1998-11,78.6,
1998-12,78.9,
1999-01,80.2,
1999-02,78.4,
1999-03,78.8,
1999-04,80.0,
1999-05,80.1,
1999-06,80.2,
1999-07,80.8,
1999-08,81.7,
1999-09,81.6,
1999-10,82.3,
1999-11,82.2,
1999-12,82.6,
