"",BBK01.OEAD17K,BBK01.OEAD17K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:38,
2002-01,0.232,
2002-04,0.285,
2002-07,0.181,
2002-10,0.138,
2003-01,0.124,
2003-04,0.116,
2003-07,0.131,
2003-10,0.114,
2004-01,0.107,
2004-04,0.153,
2004-07,0.164,
2004-10,0.145,
2005-01,0.133,
2005-04,0.143,
2005-07,0.138,
2005-10,0.140,
2006-01,0.161,
2006-04,0.132,
2006-07,0.156,
2006-10,0.190,
2007-01,0.217,
2007-04,0.239,
2007-07,0.268,
2007-10,0.282,
2008-01,0.309,
2008-04,0.428,
2008-07,0.406,
2008-10,0.220,
2009-01,0.129,
2009-04,0.115,
2009-07,0.130,
2009-10,0.118,
2010-01,0.114,
2010-04,0.077,
2010-07,0.121,
2010-10,0.133,
2011-01,0.179,
2011-04,0.197,
2011-07,0.199,
2011-10,0.125,
2012-01,0.126,
2012-04,0.118,
2012-07,0.156,
2012-10,0.202,
2013-01,0.185,
2013-04,0.191,
2013-07,0.183,
2013-10,0.181,
2014-01,0.177,
2014-04,0.174,
2014-07,0.137,
