"",BBK01.CEHQ01,BBK01.CEHQ01_FLAGS
"",short-term time deposits\n debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:17,
1991-01,2.3,
1991-04,0.5,
1991-07,1.1,
1991-10,4.6,
1992-01,2.3,
1992-04,5.7,
1992-07,-1.0,
1992-10,6.9,
1993-01,4.6,
1993-04,-0.9,
1993-07,4.6,
1993-10,5.4,
1994-01,2.1,
1994-04,-2.4,
1994-07,-2.1,
1994-10,16.2,
1995-01,-2.0,
1995-04,-2.5,
1995-07,-1.3,
1995-10,-5.8,
1996-01,-11.6,
1996-04,-7.0,
1996-07,0.8,
1996-10,13.6,
1997-01,-0.9,
1997-04,-8.1,
1997-07,1.7,
1997-10,-4.9,
1998-01,1.6,
1998-04,0.7,
1998-07,-5.9,
1998-10,-4.5,
1999-01,-4.9,
1999-04,-1.7,
1999-07,3.9,
1999-10,0.0,
2000-01,9.9,
2000-04,-1.3,
2000-07,0.0,
2000-10,-10.1,
2001-01,6.7,
2001-04,-5.6,
2001-07,1.6,
2001-10,14.3,
2002-01,-9.7,
2002-04,4.0,
2002-07,9.1,
2002-10,6.9,
2003-01,2.1,
2003-04,-0.9,
2003-07,7.1,
2003-10,3.6,
2004-01,-4.9,
2004-04,-5.0,
2004-07,13.3,
2004-10,8.2,
2005-01,-6.7,
2005-04,5.3,
2005-07,6.6,
2005-10,-1.7,
2006-01,0.7,
2006-04,7.0,
2006-07,-5.7,
2006-10,3.8,
2007-01,-1.9,
2007-04,2.7,
2007-07,19.3,
2007-10,8.7,
2008-01,-1.2,
2008-04,-4.5,
2008-07,4.7,
2008-10,-12.7,
2009-01,-6.7,
2009-04,-7.9,
2009-07,-7.8,
2009-10,-22.0,
2010-01,8.2,
2010-04,-21.9,
2010-07,19.9,
2010-10,7.4,
2011-01,-6.1,
2011-04,-14.3,
2011-07,-23.5,
2011-10,6.3,
2012-01,-14.0,
2012-04,-25.7,
2012-07,-13.9,
2012-10,4.6,
2013-01,-18.0,
2013-04,-24.0,
2013-07,28.9,
2013-10,4.1,
2014-01,-21.8,
