"",BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:44,
1991-01,2.121,
1991-04,1.560,
1991-07,2.868,
1991-10,2.924,
1992-01,-17.121,
1992-04,-1.690,
1992-07,-1.962,
1992-10,-1.690,
1993-01,-16.376,
1993-04,-16.376,
1993-07,-16.376,
1993-10,-16.376,
1994-01,51.757,
1994-04,51.957,
1994-07,50.436,
1994-10,51.891,
1995-01,-5.816,
1995-04,-4.192,
1995-07,-4.192,
1995-10,-4.192,
1996-01,34.123,
1996-04,34.123,
1996-07,34.123,
1996-10,34.123,
1997-01,16.218,
1997-04,13.321,
1997-07,16.360,
1997-10,12.374,
1998-01,-0.413,
1998-04,-0.107,
1998-07,-0.383,
1998-10,-,Nothing exists
1999-01,-88.000,
1999-04,-90.000,
1999-07,-96.325,
1999-10,-90.641,
2000-01,24.369,
2000-04,-10.237,
2000-07,22.043,
2000-10,20.056,
2001-01,3.262,
2001-04,-14.900,
2001-07,-72.207,
2001-10,-0.219,
2002-01,1.257,
2002-04,5.760,
2002-07,-23.360,
2002-10,9.013,
2003-01,-14.962,
2003-04,4.004,
2003-07,18.746,
2003-10,16.989,
2004-01,23.253,
2004-04,-51.285,
2004-07,83.697,
2004-10,7.675,
2005-01,104.257,
2005-04,177.475,
2005-07,180.726,
2005-10,125.676,
2006-01,-110.856,
2006-04,68.285,
2006-07,37.981,
2006-10,-127.005,
2007-01,95.775,
2007-04,121.266,
2007-07,86.070,
2007-10,-16.206,
2008-01,-74.017,
2008-04,-42.961,
2008-07,-3.813,
2008-10,1.714,
2009-01,20.690,
2009-04,57.728,
2009-07,82.420,
2009-10,-9.045,
2010-01,163.294,
2010-04,97.337,
2010-07,79.082,
2010-10,70.168,
2011-01,136.270,
2011-04,69.514,
2011-07,101.494,
2011-10,-186.545,
2012-01,170.405,
2012-04,38.627,
2012-07,97.102,
2012-10,25.627,
2013-01,19.182,
2013-04,31.994,
2013-07,27.922,
2013-10,-7.392,
2014-01,79.091,Provisional value
2014-04,20.924,Provisional value
2014-07,39.462,Provisional value
2014-10,18.520,Provisional value
