"",BBK01.OEXB17G,BBK01.OEXB17G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:59,
2002-01,29.373,
2002-04,31.150,
2002-07,31.757,
2002-10,32.597,
2003-01,33.096,
2003-04,33.421,
2003-07,34.214,
2003-10,34.927,
2004-01,35.479,
2004-04,37.262,
2004-07,41.250,
2004-10,42.984,
2005-01,19.540,
2005-04,19.820,
2005-07,12.014,
2005-10,12.195,
2006-01,12.370,
2006-04,12.322,
2006-07,12.522,
2006-10,12.037,
2007-01,12.184,
2007-04,12.463,
2007-07,12.697,
2007-10,12.479,
2008-01,12.610,
2008-04,12.892,
2008-07,12.912,
2008-10,13.179,
2009-01,13.522,
2009-04,13.605,
2009-07,13.825,
2009-10,13.747,
2010-01,13.594,
2010-04,13.328,
2010-07,13.247,
2010-10,13.028,
2011-01,12.895,
2011-04,12.929,
2011-07,13.011,
2011-10,12.953,
2012-01,12.832,
2012-04,12.845,
2012-07,12.822,
2012-10,12.831,
2013-01,12.778,
2013-04,12.872,
2013-07,13.052,
2013-10,13.179,
2014-01,13.246,
2014-04,13.384,
2014-07,13.546,
