"",BBK01.OECB16U,BBK01.OECB16U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:17,
2002-01,0.659,
2002-04,0.646,
2002-07,0.634,
2002-10,0.628,
2003-01,0.611,
2003-04,0.601,
2003-07,0.589,
2003-10,0.577,
2004-01,0.564,
2004-04,0.558,
2004-07,0.553,
2004-10,0.541,
2005-01,0.551,
2005-04,0.536,
2005-07,0.526,
2005-10,0.513,
2006-01,0.511,
2006-04,0.511,
2006-07,0.510,
2006-10,0.488,
2007-01,0.484,
2007-04,0.467,
2007-07,0.463,
2007-10,0.455,
2008-01,0.451,
2008-04,0.442,
2008-07,0.437,
2008-10,0.423,
2009-01,0.418,
2009-04,0.801,
2009-07,0.780,
2009-10,0.762,
2010-01,0.745,
2010-04,0.733,
2010-07,0.712,
2010-10,0.682,
2011-01,0.751,
2011-04,0.732,
2011-07,0.707,
2011-10,0.684,
2012-01,0.660,
2012-04,0.692,
2012-07,0.681,
2012-10,0.665,
2013-01,0.653,
2013-04,0.648,
2013-07,0.755,
2013-10,0.755,
2014-01,0.735,
2014-04,0.704,
2014-07,0.716,
