"",BBK01.OECO02N,BBK01.OECO02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:19,
2002-01,1.508,
2002-04,1.240,
2002-07,0.757,
2002-10,1.231,
2003-01,1.030,
2003-04,0.899,
2003-07,1.684,
2003-10,0.990,
2004-01,1.220,
2004-04,0.959,
2004-07,1.651,
2004-10,1.072,
2005-01,1.732,
2005-04,1.905,
2005-07,-0.558,
2005-10,0.148,
2006-01,-0.489,
2006-04,-0.340,
2006-07,-0.488,
2006-10,-0.221,
2007-01,-0.937,
2007-04,-0.282,
2007-07,0.072,
2007-10,0.022,
2008-01,-0.924,
2008-04,-0.824,
2008-07,-0.210,
2008-10,2.071,
2009-01,-1.586,
2009-04,-1.593,
2009-07,-4.866,
2009-10,-2.014,
2010-01,2.812,
2010-04,1.783,
2010-07,3.061,
2010-10,2.199,
2011-01,2.033,
2011-04,1.879,
2011-07,1.899,
2011-10,1.546,
2012-01,3.676,
2012-04,1.442,
2012-07,1.606,
2012-10,1.528,
2013-01,1.969,
2013-04,1.366,
2013-07,1.475,
2013-10,1.208,
2014-01,0.932,
2014-04,0.742,
2014-07,1.370,
