"",BBK01.OEYB20G,BBK01.OEYB20G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:29,
2002-01,63.752,
2002-04,64.031,
2002-07,64.399,
2002-10,64.713,
2003-01,64.705,
2003-04,64.750,
2003-07,64.790,
2003-10,64.829,
2004-01,64.589,
2004-04,64.155,
2004-07,63.892,
2004-10,63.393,
2005-01,62.431,
2005-04,61.769,
2005-07,67.401,
2005-10,66.658,
2006-01,64.468,
2006-04,64.081,
2006-07,63.480,
2006-10,62.917,
2007-01,62.104,
2007-04,61.790,
2007-07,61.608,
2007-10,61.346,
2008-01,60.968,
2008-04,61.360,
2008-07,61.921,
2008-10,62.369,
2009-01,62.169,
2009-04,62.279,
2009-07,62.589,
2009-10,62.535,
2010-01,62.933,
2010-04,63.168,
2010-07,63.431,
2010-10,63.069,
2011-01,63.844,
2011-04,64.134,
2011-07,64.672,
2011-10,64.817,
2012-01,64.775,
2012-04,64.741,
2012-07,64.867,
2012-10,64.889,
2013-01,64.669,
2013-04,64.504,
2013-07,64.618,
2013-10,65.000,
2014-01,64.938,
2014-04,65.140,
2014-07,65.513,
