"",BBK01.OEAJ04S,BBK01.OEAJ04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:21,
2002-01,0.913,
2002-04,0.899,
2002-07,0.893,
2002-10,0.864,
2003-01,0.779,
2003-04,0.770,
2003-07,0.757,
2003-10,0.783,
2004-01,0.698,
2004-04,0.620,
2004-07,0.606,
2004-10,0.727,
2005-01,0.645,
2005-04,0.617,
2005-07,0.625,
2005-10,0.711,
2006-01,0.769,
2006-04,0.788,
2006-07,0.837,
2006-10,0.934,
2007-01,1.015,
2007-04,1.069,
2007-07,1.114,
2007-10,1.164,
2008-01,1.249,
2008-04,1.266,
2008-07,1.376,
2008-10,1.242,
2009-01,0.885,
2009-04,0.783,
2009-07,0.637,
2009-10,0.596,
2010-01,0.604,
2010-04,0.612,
2010-07,0.602,
2010-10,0.687,
2011-01,0.793,
2011-04,0.794,
2011-07,0.778,
2011-10,1.073,
2012-01,1.099,
2012-04,1.153,
2012-07,1.099,
2012-10,1.057,
2013-01,0.845,
2013-04,1.119,
2013-07,1.035,
2013-10,1.006,
2014-01,1.084,
2014-04,1.093,
2014-07,1.066,
