"",BBK01.OEAL02H,BBK01.OEAL02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:00,
2002-01,51.525,
2002-04,52.105,
2002-07,51.658,
2002-10,54.185,
2003-01,55.762,
2003-04,56.871,
2003-07,56.995,
2003-10,56.793,
2004-01,57.833,
2004-04,54.279,
2004-07,53.570,
2004-10,54.597,
2005-01,58.183,
2005-04,59.679,
2005-07,60.613,
2005-10,62.081,
2006-01,63.209,
2006-04,64.147,
2006-07,62.531,
2006-10,63.508,
2007-01,65.211,
2007-04,67.792,
2007-07,67.750,
2007-10,68.807,
2008-01,68.964,
2008-04,68.606,
2008-07,67.557,
2008-10,72.318,
2009-01,79.827,
2009-04,85.189,
2009-07,87.889,
2009-10,91.083,
2010-01,93.830,
2010-04,96.485,
2010-07,96.556,
2010-10,98.164,
2011-01,98.449,
2011-04,99.271,
2011-07,99.781,
2011-10,101.566,
2012-01,103.532,
2012-04,107.583,
2012-07,110.939,
2012-10,115.195,
2013-01,119.197,
2013-04,123.180,
2013-07,124.518,
2013-10,129.108,
2014-01,131.036,
2014-04,134.298,
2014-07,136.853,
