"",BBDA1.M.DE.N.EX.S.GP09IS04.W1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.GP09IS04.W1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Consumer goods / Absolute value",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:46,
2008-01,14296428,
2008-02,13925356,
2008-03,13645516,
2008-04,14106280,
2008-05,12745982,
2008-06,14766542,
2008-07,14836200,
2008-08,14529567,
2008-09,15235937,
2008-10,15902881,
2008-11,13922691,
2008-12,12654620,
2009-01,12100765,
2009-02,12161989,
2009-03,12921795,
2009-04,12038985,
2009-05,10875834,
2009-06,11286909,
2009-07,12916533,
2009-08,11403591,
2009-09,12701250,
2009-10,12889267,
2009-11,12741172,
2009-12,11627705,
2010-01,11634366,
2010-02,12153876,
2010-03,14255775,
2010-04,12240623,
2010-05,12405141,
2010-06,13240770,
2010-07,13399074,
2010-08,13396518,
2010-09,14154427,
2010-10,14168151,
2010-11,13515889,
2010-12,13250353,
2011-01,12923360,
2011-02,13544908,
2011-03,15348645,
2011-04,13304346,
2011-05,14083389,
2011-06,13835077,
2011-07,13514919,
2011-08,14631558,
2011-09,15357576,
2011-10,14529703,
2011-11,15126292,
2011-12,13420862,
2012-01,14457089,
2012-02,14334590,
2012-03,15335681,
2012-04,13309788,
2012-05,14685687,
2012-06,14580432,
2012-07,15199262,
2012-08,15445427,
2012-09,15451327,
2012-10,16527404,
2012-11,15421379,
2012-12,12891428,
2013-01,15634812,
2013-02,14823426,
2013-03,15386115,
2013-04,15350022,
2013-05,14483518,
2013-06,14863137,
2013-07,15827313,
2013-08,15088122,
2013-09,16196057,
2013-10,17193928,
2013-11,15845636,
2013-12,13603018,
2014-01,16512408,
2014-02,15777499,
2014-03,16295371,
2014-04,15678095,
2014-05,15720819,
2014-06,15482041,
2014-07,17039272,
2014-08,16412839,
2014-09,17645412,
2014-10,17830386,
2014-11,16728854,
2014-12,15589026,
