"",BBK01.OEAD19H,BBK01.OEAD19H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:49,
2002-01,0.641,
2002-04,0.681,
2002-07,0.646,
2002-10,0.594,
2003-01,0.562,
2003-04,0.646,
2003-07,0.614,
2003-10,0.577,
2004-01,0.568,
2004-04,0.553,
2004-07,0.530,
2004-10,0.492,
2005-01,0.452,
2005-04,0.441,
2005-07,0.434,
2005-10,0.351,
2006-01,0.361,
2006-04,0.394,
2006-07,0.381,
2006-10,0.390,
2007-01,0.405,
2007-04,0.351,
2007-07,0.348,
2007-10,0.384,
2008-01,0.402,
2008-04,0.452,
2008-07,0.461,
2008-10,0.430,
2009-01,0.432,
2009-04,0.352,
2009-07,0.340,
2009-10,0.316,
2010-01,0.294,
2010-04,0.295,
2010-07,0.262,
2010-10,0.293,
2011-01,0.255,
2011-04,0.309,
2011-07,0.297,
2011-10,0.313,
2012-01,0.314,
2012-04,0.339,
2012-07,0.308,
2012-10,0.273,
2013-01,0.327,
2013-04,0.348,
2013-07,0.346,
2013-10,0.298,
2014-01,0.253,
2014-04,0.274,
2014-07,0.242,
