"",BBFN1.M.DE.N.1.L.S1.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.S1.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:40,
1995-01,1.833,
1995-02,1.744,
1995-03,1.754,
1995-04,1.801,
1995-05,1.827,
1995-06,1.844,
1995-07,1.860,
1995-08,1.848,
1995-09,1.841,
1995-10,1.856,
1995-11,1.854,
1995-12,1.800,
1996-01,1.806,
1996-02,1.862,
1996-03,1.922,
1996-04,1.993,
1996-05,1.876,
1996-06,1.874,
1996-07,1.852,
1996-08,1.847,
1996-09,2.101,
1996-10,2.244,
1996-11,2.095,
1996-12,2.410,
1997-01,2.386,
1997-02,2.433,
1997-03,2.258,
1997-04,2.282,
1997-05,2.337,
1997-06,2.438,
1997-07,2.298,
1997-08,2.293,
1997-09,2.300,
1997-10,2.449,
1997-11,2.387,
1997-12,2.470,
1998-01,2.556,
1998-02,2.673,
1998-03,2.661,
1998-04,2.791,
1998-05,2.826,
1998-06,2.996,
1998-07,2.622,
1998-08,2.742,
1998-09,2.610,
1998-10,2.713,
1998-11,2.751,
1998-12,2.842,
1999-01,2.763,
1999-02,2.761,
1999-03,2.779,
1999-04,2.952,
1999-05,2.998,
1999-06,2.993,
1999-07,2.894,
1999-08,3.071,
1999-09,2.825,
1999-10,2.875,
1999-11,3.130,
1999-12,2.903,
2000-01,2.922,
2000-02,3.021,
2000-03,3.074,
2000-04,3.101,
2000-05,3.110,
2000-06,3.219,
2000-07,3.287,
2000-08,3.442,
2000-09,3.321,
2000-10,3.280,
2000-11,3.254,
2000-12,3.355,
2001-01,3.294,
2001-02,3.153,
2001-03,3.285,
2001-04,3.293,
2001-05,3.193,
2001-06,3.417,
2001-07,3.355,
2001-08,3.481,
2001-09,3.585,
2001-10,3.694,
2001-11,3.727,
2001-12,3.736,
2002-01,3.774,
2002-02,3.912,
2002-03,3.415,
2002-04,3.386,
2002-05,3.400,
2002-06,3.427,
2002-07,3.568,
2002-08,3.510,
2002-09,3.624,
2002-10,3.442,
2002-11,3.198,
2002-12,3.281,
2003-01,4.427,
2003-02,4.294,
2003-03,4.285,
2003-04,4.397,
2003-05,4.452,
2003-06,4.422,
2003-07,4.097,
2003-08,4.096,
2003-09,3.742,
2003-10,3.437,
2003-11,3.632,
2003-12,3.323,
2004-01,3.308,
2004-02,3.232,
2004-03,3.669,
2004-04,3.557,
2004-05,3.461,
2004-06,3.652,
2004-07,3.530,
2004-08,3.647,
2004-09,3.689,
2004-10,3.690,
2004-11,3.562,
2004-12,3.552,
2005-01,3.108,
2005-02,2.945,
2005-03,3.087,
2005-04,3.038,
2005-05,2.997,
2005-06,3.172,
2005-07,3.043,
2005-08,3.166,
2005-09,3.326,
2005-10,3.162,
2005-11,3.380,
2005-12,3.493,
2006-01,3.295,
2006-02,3.227,
2006-03,3.435,
2006-04,3.308,
2006-05,3.403,
2006-06,3.596,
2006-07,3.513,
2006-08,3.605,
2006-09,3.743,
2006-10,3.924,
2006-11,3.588,
2006-12,3.624,
2007-01,3.954,
2007-02,3.986,
2007-03,4.766,
2007-04,4.428,
2007-05,4.408,
2007-06,4.788,
2007-07,4.999,
2007-08,5.158,
2007-09,5.086,
2007-10,5.047,
2007-11,4.933,
2007-12,5.046,
2008-01,4.993,
2008-02,5.132,
2008-03,5.064,
2008-04,4.965,
2008-05,5.058,
2008-06,5.209,
2008-07,5.058,
2008-08,5.134,
2008-09,5.429,
2008-10,5.698,
2008-11,5.923,
2008-12,5.189,
2009-01,5.146,
2009-02,5.117,
2009-03,5.299,
2009-04,5.709,
2009-05,5.961,
2009-06,5.882,
2009-07,6.005,
2009-08,5.871,
2009-09,6.313,
2009-10,6.147,
2009-11,6.533,
2009-12,9.869,
2010-01,6.155,
2010-02,6.379,
2010-03,5.982,
2010-04,6.596,
2010-05,7.072,
2010-06,7.473,
2010-07,7.148,
2010-08,7.324,
2010-09,7.332,
2010-10,7.109,
2010-11,7.413,
2010-12,7.512,
2011-01,7.324,
2011-02,7.078,
2011-03,7.369,
2011-04,7.241,
2011-05,7.282,
2011-06,7.178,
2011-07,7.177,
2011-08,7.236,
2011-09,7.462,
2011-10,7.550,
2011-11,7.938,
2011-12,8.224,
2012-01,8.147,
2012-02,8.156,
2012-03,8.286,
2012-04,7.936,
2012-05,8.093,
2012-06,8.246,
2012-07,8.677,
2012-08,8.503,
2012-09,8.845,
2012-10,8.524,
2012-11,8.422,
2012-12,9.243,
2013-01,8.584,
2013-02,8.676,
2013-03,9.115,
2013-04,9.216,
2013-05,8.988,
2013-06,8.677,
2013-07,8.458,
2013-08,8.757,
2013-09,9.482,
2013-10,9.336,
2013-11,9.053,
2013-12,8.874,
2014-01,8.586,
2014-02,9.854,
2014-03,8.780,
2014-04,8.544,
2014-05,8.855,
2014-06,8.870,
2014-07,8.848,
2014-08,8.873,
2014-09,9.676,
2014-10,10.068,
2014-11,9.706,
2014-12,11.218,
