"",BBXP1.M.U2.N.HICP.000000.IND.I00,BBXP1.M.U2.N.HICP.000000.IND.I00_FLAGS
"",Hamonized Index of Consumer Prices / Euro area (changing composition) / Overall index / Unadjusted figure / Monthly,
unit,2005=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:18:39,
1990-01,69.46,
1990-02,69.71,
1990-03,69.88,
1990-04,70.14,
1990-05,70.30,
1990-06,70.39,
1990-07,70.39,
1990-08,70.81,
1990-09,71.32,
1990-10,71.74,
1990-11,71.74,
1990-12,71.74,
1991-01,72.17,
1991-02,72.59,
1991-03,72.59,
1991-04,72.84,
1991-05,73.18,
1991-06,73.43,
1991-07,73.94,
1991-08,74.03,
1991-09,74.11,
1991-10,74.37,
1991-11,74.70,
1991-12,74.70,
1992-01,74.96,
1992-02,75.38,
1992-03,75.72,
1992-04,75.89,
1992-05,76.14,
1992-06,76.31,
1992-07,76.40,
1992-08,76.48,
1992-09,76.57,
1992-10,76.73,
1992-11,76.99,
1992-12,77.07,
1993-01,77.50,
1993-02,77.92,
1993-03,78.17,
1993-04,78.34,
1993-05,78.51,
1993-06,78.68,
1993-07,78.93,
1993-08,79.02,
1993-09,79.10,
1993-10,79.27,
1993-11,79.44,
1993-12,79.53,
1994-01,79.78,
1994-02,80.20,
1994-03,80.37,
1994-04,80.46,
1994-05,80.71,
1994-06,80.80,
1994-07,80.96,
1994-08,81.13,
1994-09,81.22,
1994-10,81.30,
1994-11,81.39,
1994-12,81.56,
1995-01,81.73,
1995-02,82.15,
1995-03,82.40,
1995-04,82.57,
1995-05,82.66,
1995-06,82.91,
1995-07,82.91,
1995-08,82.99,
1995-09,83.16,
1995-10,83.25,
1995-11,83.33,
1995-12,83.50,
1996-01,83.67,
1996-02,84.09,
1996-03,84.35,
1996-04,84.52,
1996-05,84.69,
1996-06,84.69,
1996-07,84.69,
1996-08,84.69,
1996-09,84.86,
1996-10,84.94,
1996-11,84.94,
1996-12,85.11,
1997-01,85.36,
1997-02,85.62,
1997-03,85.70,
1997-04,85.62,
1997-05,85.87,
1997-06,85.87,
1997-07,85.96,
1997-08,86.13,
1997-09,86.21,
1997-10,86.21,
1997-11,86.29,
1997-12,86.38,
1998-01,86.29,
1998-02,86.55,
1998-03,86.63,
1998-04,86.80,
1998-05,86.97,
1998-06,87.06,
1998-07,87.06,
1998-08,87.06,
1998-09,87.06,
1998-10,86.97,
1998-11,86.97,
1998-12,87.06,
1999-01,86.97,
1999-02,87.23,
1999-03,87.48,
1999-04,87.73,
1999-05,87.82,
1999-06,87.82,
1999-07,87.99,
1999-08,88.07,
1999-09,88.07,
1999-10,88.16,
1999-11,88.24,
1999-12,88.58,
2000-01,88.58,
2000-02,88.92,
2000-03,89.17,
2000-04,89.26,
2000-05,89.34,
2000-06,89.68,
2000-07,89.76,
2000-08,89.85,
2000-09,90.27,
2000-10,90.27,
2000-11,90.44,
2000-12,90.78,
2001-01,90.36,
2001-02,90.61,
2001-03,91.12,
2001-04,91.71,
2001-05,92.13,
2001-06,92.22,
2001-07,92.05,
2001-08,91.96,
2001-09,92.22,
2001-10,92.30,
2001-11,92.22,
2001-12,92.64,
2002-01,92.72,
2002-02,92.89,
2002-03,93.40,
2002-04,93.82,
2002-05,93.99,
2002-06,93.99,
2002-07,93.91,
2002-08,93.91,
2002-09,94.16,
2002-10,94.42,
2002-11,94.33,
2002-12,94.75,
2003-01,94.67,
2003-02,95.09,
2003-03,95.69,
2003-04,95.77,
2003-05,95.69,
2003-06,95.77,
2003-07,95.69,
2003-08,95.85,
2003-09,96.19,
2003-10,96.28,
2003-11,96.36,
2003-12,96.62,
2004-01,96.45,
2004-02,96.62,
2004-03,97.29,
2004-04,97.72,
2004-05,98.05,
2004-06,98.05,
2004-07,97.88,
2004-08,98.05,
2004-09,98.22,
2004-10,98.56,
2004-11,98.48,
2004-12,98.90,
2005-01,98.31,
2005-02,98.65,
2005-03,99.32,
2005-04,99.75,
2005-05,100.00,
2005-06,100.08,
2005-07,100.00,
2005-08,100.25,
2005-09,100.76,
2005-10,101.02,
2005-11,100.76,
2005-12,101.10,
2006-01,100.66,
2006-02,100.95,
2006-03,101.53,
2006-04,102.20,
2006-05,102.48,
2006-06,102.56,
2006-07,102.43,
2006-08,102.52,
2006-09,102.52,
2006-10,102.60,
2006-11,102.64,
2006-12,103.04,
2007-01,102.51,
2007-02,102.81,
2007-03,103.50,
2007-04,104.15,
2007-05,104.40,
2007-06,104.50,
2007-07,104.25,
2007-08,104.31,
2007-09,104.71,
2007-10,105.22,
2007-11,105.78,
2007-12,106.20,
2008-01,105.80,
2008-02,106.17,
2008-03,107.21,
2008-04,107.55,
2008-05,108.23,
2008-06,108.64,
2008-07,108.47,
2008-08,108.32,
2008-09,108.52,
2008-10,108.55,
2008-11,108.02,
2008-12,107.88,
2009-01,106.98,
2009-02,107.42,
2009-03,107.82,
2009-04,108.21,
2009-05,108.27,
2009-06,108.48,
2009-07,107.77,
2009-08,108.14,
2009-09,108.16,
2009-10,108.41,
2009-11,108.54,
2009-12,108.88,
2010-01,107.99,
2010-02,108.33,
2010-03,109.53,
2010-04,109.98,
2010-05,110.10,
2010-06,110.10,
2010-07,109.63,
2010-08,109.85,
2010-09,110.19,
2010-10,110.52,
2010-11,110.62,
2010-12,111.29,
2011-01,110.49,
2011-02,110.96,
2011-03,112.46,
2011-04,113.09,
2011-05,113.09,
2011-06,113.08,
2011-07,112.44,
2011-08,112.65,
2011-09,113.47,
2011-10,113.87,
2011-11,113.97,
2011-12,114.35,
2012-01,113.42,
2012-02,113.99,
2012-03,115.46,
2012-04,116.00,
2012-05,115.84,
2012-06,115.75,
2012-07,115.15,
2012-08,115.59,
2012-09,116.43,
2012-10,116.71,
2012-11,116.47,
2012-12,116.89,
2013-01,115.67,
2013-02,116.09,
2013-03,117.47,
2013-04,117.36,
2013-05,117.49,
2013-06,117.61,
2013-07,116.99,
2013-08,117.14,
2013-09,117.71,
2013-10,117.56,
2013-11,117.47,
2013-12,117.88,
2014-01,116.57,
2014-02,116.92,
2014-03,118.02,
2014-04,118.20,
2014-05,118.07,
2014-06,118.20,
2014-07,117.43,
2014-08,117.57,
2014-09,118.08,
2014-10,118.01,
2014-11,117.80,
2014-12,117.69,
2015-01,115.85,Provisional value
"",Methodology: Reference year 2005. Chained indices. Laspeyres-type price index. Mode of weight change: annually.,
