"",BBK01.OEAA51H,BBK01.OEAA51H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:03,
2002-01,11.126,
2002-04,8.982,
2002-07,9.981,
2002-10,6.866,
2003-01,8.432,
2003-04,6.350,
2003-07,6.232,
2003-10,4.919,
2004-01,4.687,
2004-04,4.257,
2004-07,5.852,
2004-10,5.898,
2005-01,8.899,
2005-04,7.764,
2005-07,8.073,
2005-10,8.581,
2006-01,8.654,
2006-04,10.967,
2006-07,9.247,
2006-10,10.570,
2007-01,21.570,
2007-04,20.122,
2007-07,18.026,
2007-10,17.296,
2008-01,20.441,
2008-04,21.110,
2008-07,21.800,
2008-10,21.046,
2009-01,16.067,
2009-04,13.515,
2009-07,11.104,
2009-10,10.425,
2010-01,9.635,
2010-04,14.417,
2010-07,12.026,
2010-10,10.909,
2011-01,10.765,
2011-04,14.072,
2011-07,19.187,
2011-10,14.030,
2012-01,12.143,
2012-04,13.100,
2012-07,14.754,
2012-10,13.607,
2013-01,13.595,
2013-04,10.825,
2013-07,11.271,
2013-10,8.614,
2014-01,10.481,
2014-04,12.446,
2014-07,11.747,
