"",BBFB1.M.N.DE.W1.S1.S1.T.C.G22._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.G22._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Net exports of goods under merchanting / Goods sold under merchanting / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:04,
1991-01,3512.280,
1991-02,3503.611,
1991-03,2936.863,
1991-04,3522.538,
1991-05,3168.795,
1991-06,2818.337,
1991-07,3500.773,
1991-08,3233.398,
1991-09,2827.113,
1991-10,3122.805,
1991-11,2797.566,
1991-12,2801.356,
1992-01,3297.959,
1992-02,3377.121,
1992-03,3238.858,
1992-04,2925.885,
1992-05,3150.846,
1992-06,3368.802,
1992-07,3347.170,
1992-08,3032.500,
1992-09,3426.132,
1992-10,3580.101,
1992-11,3185.722,
1992-12,2986.141,
1993-01,3502.955,
1993-02,2766.896,
1993-03,3273.618,
1993-04,3160.135,
1993-05,3323.024,
1993-06,3506.385,
1993-07,3526.934,
1993-08,3454.129,
1993-09,3033.573,
1993-10,2643.486,
1993-11,3310.931,
1993-12,3092.445,
1994-01,3238.837,
1994-02,2768.864,
1994-03,2992.112,
1994-04,2846.090,
1994-05,3252.611,
1994-06,3208.948,
1994-07,3409.880,
1994-08,2819.980,
1994-09,3718.973,
1994-10,3237.041,
1994-11,3180.319,
1994-12,2776.164,
1995-01,2996.264,
1995-02,2821.522,
1995-03,3312.163,
1995-04,2916.549,
1995-05,3557.222,
1995-06,3078.322,
1995-07,2923.680,
1995-08,4150.575,
1995-09,3144.091,
1995-10,3327.361,
1995-11,4231.808,
1995-12,3477.022,
1996-01,3427.933,
1996-02,4302.645,
1996-03,3818.652,
1996-04,3125.822,
1996-05,2937.068,
1996-06,3716.683,
1996-07,3303.508,
1996-08,3616.400,
1996-09,2383.075,
1996-10,4065.116,
1996-11,3133.636,
1996-12,3469.076,
1997-01,3989.896,
1997-02,3890.777,
1997-03,4203.101,
1997-04,3947.438,
1997-05,3406.009,
1997-06,3466.489,
1997-07,4257.807,
1997-08,4046.201,
1997-09,3762.625,
1997-10,4203.603,
1997-11,3279.785,
1997-12,3215.106,
