"",BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:27,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,0.002,
1992-07,0.005,
1992-10,-0.091,
1993-01,0.119,
1993-04,-0.088,
1993-07,-0.008,
1993-10,-0.152,
1994-01,-0.054,
1994-04,-2.841,
1994-07,0.232,
1994-10,-0.226,
1995-01,0.093,
1995-04,-0.059,
1995-07,-0.601,
1995-10,0.119,
1996-01,-0.034,
1996-04,0.105,
1996-07,0.218,
1996-10,0.397,
1997-01,0.017,
1997-04,0.059,
1997-07,0.089,
1997-10,0.135,
1998-01,0.131,
1998-04,0.140,
1998-07,0.038,
1998-10,0.407,
1999-01,-0.002,
1999-04,-0.015,
1999-07,0.385,
1999-10,-1.224,
2000-01,-3.189,
2000-04,-1.210,
2000-07,-0.366,
2000-10,-0.892,
2001-01,0.238,
2001-04,-1.372,
2001-07,14.197,
2001-10,-1.948,
2002-01,0.436,
2002-04,0.023,
2002-07,0.065,
2002-10,-156.246,
2003-01,2.036,
2003-04,0.210,
2003-07,-0.085,
2003-10,-0.002,
2004-01,-0.036,
2004-04,-0.749,
2004-07,-0.723,
2004-10,-0.041,
2005-01,0.128,
2005-04,0.048,
2005-07,4.332,
2005-10,1.183,
2006-01,-0.525,
2006-04,-38.306,
2006-07,-17.925,
2006-10,-10.671,
2007-01,-2.044,
2007-04,33.205,
2007-07,-16.731,
2007-10,-10.667,
2008-01,-4.124,
2008-04,-7.341,
2008-07,15.688,
2008-10,-15.583,
2009-01,-96.425,
2009-04,-54.156,
2009-07,-63.992,
2009-10,4.349,
2010-01,-471.471,
2010-04,-858.091,
2010-07,-1163.520,
2010-10,-1044.686,
2011-01,-271.711,
2011-04,22.266,
2011-07,334.406,
2011-10,381.442,
2012-01,177.255,
2012-04,-40.646,
2012-07,144.449,
2012-10,467.275,
2013-01,289.648,
2013-04,489.653,
2013-07,682.842,
2013-10,548.778,
2014-01,363.197,Provisional value
2014-04,653.446,Provisional value
2014-07,622.002,Provisional value
2014-10,571.086,Provisional value
