"",BBK01.OEHL09G,BBK01.OEHL09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:22,
2002-01,11.740,
2002-04,11.595,
2002-07,11.406,
2002-10,11.058,
2003-01,10.680,
2003-04,9.982,
2003-07,9.567,
2003-10,9.943,
2004-01,9.787,
2004-04,9.440,
2004-07,9.522,
2004-10,10.172,
2005-01,10.778,
2005-04,10.879,
2005-07,10.603,
2005-10,10.620,
2006-01,10.762,
2006-04,11.094,
2006-07,11.576,
2006-10,13.124,
2007-01,13.579,
2007-04,13.526,
2007-07,13.151,
2007-10,13.313,
2008-01,12.451,
2008-04,11.851,
2008-07,11.583,
2008-10,12.448,
2009-01,12.276,
2009-04,11.586,
2009-07,11.539,
2009-10,12.847,
2010-01,13.408,
2010-04,13.045,
2010-07,12.650,
2010-10,13.181,
2011-01,12.953,
2011-04,12.396,
2011-07,12.353,
2011-10,12.574,
2012-01,12.584,
2012-04,12.482,
2012-07,12.079,
2012-10,12.320,
2013-01,12.104,
2013-04,12.008,
2013-07,12.050,
2013-10,12.368,
2014-01,12.335,
2014-04,11.346,
2014-07,11.237,
