"",BBK01.OEYJ04P,BBK01.OEYJ04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:51,
2002-01,0.098,
2002-04,0.126,
2002-07,0.172,
2002-10,0.224,
2003-01,0.323,
2003-04,0.362,
2003-07,0.252,
2003-10,0.167,
2004-01,0.234,
2004-04,0.191,
2004-07,0.248,
2004-10,0.255,
2005-01,0.339,
2005-04,0.274,
2005-07,0.304,
2005-10,0.242,
2006-01,0.330,
2006-04,0.304,
2006-07,0.397,
2006-10,0.350,
2007-01,0.426,
2007-04,0.671,
2007-07,0.671,
2007-10,0.597,
2008-01,0.642,
2008-04,0.791,
2008-07,0.810,
2008-10,0.618,
2009-01,0.790,
2009-04,0.953,
2009-07,1.220,
2009-10,0.823,
2010-01,0.933,
2010-04,0.919,
2010-07,1.070,
2010-10,1.002,
2011-01,1.368,
2011-04,1.628,
2011-07,1.641,
2011-10,1.737,
2012-01,1.441,
2012-04,1.378,
2012-07,1.528,
2012-10,1.001,
2013-01,1.185,
2013-04,0.958,
2013-07,0.872,
2013-10,0.378,
2014-01,0.768,
2014-04,0.684,
2014-07,0.433,
