"",BBFB1.Q.N.DE.A1.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:15,
1991-01,3136.477,
1991-04,3604.843,
1991-07,3574.742,
1991-10,3443.953,
1992-01,3255.388,
1992-04,3332.704,
1992-07,3368.471,
1992-10,3260.332,
1993-01,3010.168,
1993-04,3046.873,
1993-07,3232.441,
1993-10,3047.257,
1994-01,3191.322,
1994-04,3097.910,
1994-07,3275.238,
1994-10,3248.967,
1995-01,2907.986,
1995-04,2893.169,
1995-07,3028.785,
1995-10,3247.268,
1996-01,2801.651,
1996-04,3100.310,
1996-07,3159.879,
1996-10,3643.781,
1997-01,3324.682,
1997-04,4381.562,
1997-07,4373.876,
1997-10,4485.608,
1998-01,4160.856,
1998-04,4004.985,
1998-07,4202.428,
1998-10,4076.451,
1999-01,3981.658,
1999-04,4208.443,
1999-07,4670.795,
1999-10,4964.809,
2000-01,4761.032,
2000-04,5296.645,
2000-07,5507.994,
2000-10,6154.186,
2001-01,4900.414,
2001-04,5074.551,
2001-07,5115.079,
2001-10,6676.192,
2002-01,5700.461,
2002-04,6221.039,
2002-07,6390.096,
2002-10,6914.217,
2003-01,4863.050,
2003-04,5433.188,
2003-07,5171.627,
2003-10,5898.691,
2004-01,5112.142,
2004-04,5668.160,
2004-07,5903.960,
2004-10,6330.468,
2005-01,6570.260,
2005-04,6117.467,
2005-07,6406.793,
2005-10,7446.669,
2006-01,5947.382,
2006-04,6609.339,
2006-07,6655.522,
2006-10,7683.482,
2007-01,6412.149,
2007-04,7437.632,
2007-07,7568.405,
2007-10,8238.790,
2008-01,6969.574,
2008-04,7773.643,
2008-07,7621.116,
2008-10,8589.792,
2009-01,7164.027,
2009-04,7885.078,
2009-07,7076.704,
2009-10,7527.865,
2010-01,7443.921,
2010-04,8355.402,
2010-07,8177.109,
2010-10,9137.421,
2011-01,8367.650,
2011-04,8381.019,
2011-07,8319.991,
2011-10,9832.958,
2012-01,8250.255,
2012-04,9487.485,
2012-07,9543.525,
2012-10,10045.168,
2013-01,9347.406,
2013-04,10140.478,
2013-07,10463.756,
2013-10,10237.914,
2014-01,9588.167,Provisional value
2014-04,10211.478,Provisional value
2014-07,9877.195,Provisional value
