"",BBK01.OECB18N,BBK01.OECB18N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:53,
2002-01,1.211,
2002-04,1.133,
2002-07,1.138,
2002-10,1.188,
2003-01,1.033,
2003-04,0.996,
2003-07,1.015,
2003-10,1.077,
2004-01,0.983,
2004-04,0.933,
2004-07,0.922,
2004-10,0.901,
2005-01,1.064,
2005-04,1.054,
2005-07,1.020,
2005-10,1.104,
2006-01,0.971,
2006-04,0.980,
2006-07,1.056,
2006-10,1.157,
2007-01,0.989,
2007-04,1.028,
2007-07,0.946,
2007-10,0.943,
2008-01,0.838,
2008-04,0.862,
2008-07,0.866,
2008-10,0.908,
2009-01,0.834,
2009-04,0.827,
2009-07,0.906,
2009-10,0.822,
2010-01,0.777,
2010-04,1.000,
2010-07,0.955,
2010-10,0.867,
2011-01,0.976,
2011-04,1.115,
2011-07,1.155,
2011-10,1.050,
2012-01,1.026,
2012-04,1.052,
2012-07,1.086,
2012-10,1.017,
2013-01,1.141,
2013-04,1.088,
2013-07,1.142,
2013-10,1.120,
2014-01,1.242,
2014-04,1.226,
2014-07,1.212,
