"",BBK01.OEGL08I,BBK01.OEGL08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:19,
2002-01,6.936,
2002-04,6.800,
2002-07,6.731,
2002-10,6.710,
2003-01,6.868,
2003-04,6.853,
2003-07,7.624,
2003-10,7.613,
2004-01,7.556,
2004-04,7.459,
2004-07,7.318,
2004-10,7.392,
2005-01,7.345,
2005-04,7.245,
2005-07,7.171,
2005-10,7.194,
2006-01,7.137,
2006-04,7.103,
2006-07,6.995,
2006-10,6.610,
2007-01,6.648,
2007-04,6.644,
2007-07,6.700,
2007-10,6.793,
2008-01,6.748,
2008-04,6.717,
2008-07,6.718,
2008-10,7.290,
2009-01,7.206,
2009-04,6.513,
2009-07,5.953,
2009-10,5.583,
2010-01,4.807,
2010-04,4.653,
2010-07,4.554,
2010-10,4.494,
2011-01,4.248,
2011-04,4.129,
2011-07,4.019,
2011-10,3.865,
2012-01,3.638,
2012-04,3.522,
2012-07,3.425,
2012-10,3.324,
2013-01,3.214,
2013-04,3.146,
2013-07,3.074,
2013-10,2.993,
2014-01,2.900,
2014-04,2.844,
2014-07,2.785,
