"",BBDP1.M.DE.N.HVPI.C.A00000.I05.A,BBDP1.M.DE.N.HVPI.C.A00000.I05.A_FLAGS
"",Harmonised index of consumer prices / Germany / Unadjusted figure / Total,
unit,2005=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:18:40,
1995-01,86.9,
1995-02,87.4,
1995-03,87.4,
1995-04,87.5,
1995-05,87.5,
1995-06,87.7,
1995-07,87.9,
1995-08,87.8,
1995-09,87.7,
1995-10,87.6,
1995-11,87.6,
1995-12,87.8,
1996-01,87.9,
1996-02,88.4,
1996-03,88.5,
1996-04,88.4,
1996-05,88.6,
1996-06,88.7,
1996-07,88.9,
1996-08,88.8,
1996-09,88.8,
1996-10,88.7,
1996-11,88.6,
1996-12,89.0,
1997-01,89.5,
1997-02,89.9,
1997-03,89.8,
1997-04,89.5,
1997-05,89.9,
1997-06,90.0,
1997-07,90.3,
1997-08,90.4,
1997-09,90.1,
1997-10,90.0,
1997-11,90.0,
1997-12,90.2,
1998-01,90.1,
1998-02,90.4,
1998-03,90.2,
1998-04,90.3,
1998-05,90.7,
1998-06,90.7,
1998-07,91.0,
1998-08,90.9,
1998-09,90.6,
1998-10,90.4,
1998-11,90.4,
1998-12,90.4,
1999-01,90.3,
1999-02,90.5,
1999-03,90.7,
1999-04,91.0,
1999-05,91.0,
1999-06,91.1,
1999-07,91.5,
1999-08,91.5,
1999-09,91.3,
1999-10,91.2,
1999-11,91.3,
1999-12,91.6,
2000-01,91.8,
2000-02,92.0,
2000-03,92.0,
2000-04,91.9,
2000-05,91.8,
2000-06,92.3,
2000-07,92.7,
2000-08,92.4,
2000-09,92.7,
2000-10,92.5,
2000-11,92.6,
2000-12,93.6,
2001-01,93.0,
2001-02,93.6,
2001-03,93.6,
2001-04,93.9,
2001-05,94.4,
2001-06,94.6,
2001-07,94.7,
2001-08,94.5,
2001-09,94.4,
2001-10,94.0,
2001-11,93.8,
2001-12,94.9,
2002-01,95.0,
2002-02,95.3,
2002-03,95.4,
2002-04,95.4,
2002-05,95.4,
2002-06,95.4,
2002-07,95.7,
2002-08,95.5,
2002-09,95.4,
2002-10,95.3,
2002-11,94.9,
2002-12,96.0,
2003-01,95.9,
2003-02,96.4,
2003-03,96.6,
2003-04,96.3,
2003-05,96.1,
2003-06,96.2,
2003-07,96.5,
2003-08,96.6,
2003-09,96.4,
2003-10,96.3,
2003-11,96.2,
2003-12,97.0,
2004-01,97.0,
2004-02,97.2,
2004-03,97.7,
2004-04,97.9,
2004-05,98.1,
2004-06,98.1,
2004-07,98.5,
2004-08,98.6,
2004-09,98.3,
2004-10,98.5,
2004-11,98.1,
2004-12,99.2,
2005-01,98.6,
2005-02,99.0,
2005-03,99.3,
2005-04,99.3,
2005-05,99.7,
2005-06,99.9,
2005-07,100.3,
2005-08,100.5,
2005-09,100.8,
2005-10,100.8,
2005-11,100.3,
2005-12,101.3,
2006-01,100.7,
2006-02,101.1,
2006-03,101.2,
2006-04,101.6,
2006-05,101.8,
2006-06,101.9,
2006-07,102.4,
2006-08,102.3,
2006-09,101.8,
2006-10,101.9,
2006-11,101.8,
2006-12,102.7,
2007-01,102.5,
2007-02,103.0,
2007-03,103.2,
2007-04,103.6,
2007-05,103.8,
2007-06,103.9,
2007-07,104.4,
2007-08,104.3,
2007-09,104.5,
2007-10,104.7,
2007-11,105.2,
2007-12,105.9,
2008-01,105.5,
2008-02,106.1,
2008-03,106.6,
2008-04,106.3,
2008-05,107.0,
2008-06,107.4,
2008-07,108.1,
2008-08,107.7,
2008-09,107.6,
2008-10,107.3,
2008-11,106.7,
2008-12,107.1,
2009-01,106.5,
2009-02,107.2,
2009-03,107.0,
2009-04,107.1,
2009-05,107.0,
2009-06,107.4,
2009-07,107.3,
2009-08,107.6,
2009-09,107.1,
2009-10,107.2,
2009-11,107.0,
2009-12,108.0,
2010-01,107.3,
2010-02,107.7,
2010-03,108.3,
2010-04,108.2,
2010-05,108.3,
2010-06,108.3,
2010-07,108.6,
2010-08,108.7,
2010-09,108.5,
2010-10,108.6,
2010-11,108.7,
2010-12,110.0,
2011-01,109.4,
2011-02,110.1,
2011-03,110.8,
2011-04,111.1,
2011-05,110.9,
2011-06,110.9,
2011-07,111.4,
2011-08,111.4,
2011-09,111.6,
2011-10,111.7,
2011-11,111.7,
2011-12,112.5,
2012-01,111.9,
2012-02,112.9,
2012-03,113.4,
2012-04,113.5,
2012-05,113.3,
2012-06,113.1,
2012-07,113.5,
2012-08,113.9,
2012-09,113.9,
2012-10,114.0,
2012-11,113.8,
2012-12,114.8,comment
2013-01,114.0,
2013-02,114.9,
2013-03,115.4,
2013-04,114.8,
2013-05,115.1,
2013-06,115.2,
2013-07,115.7,
2013-08,115.7,
2013-09,115.7,
2013-10,115.4,
2013-11,115.6,
2013-12,116.2,
2014-01,115.4,
2014-02,116.0,
2014-03,116.4,
2014-04,116.1,
2014-05,115.8,
2014-06,116.3,
2014-07,116.6,
2014-08,116.6,
2014-09,116.6,
2014-10,116.2,
2014-11,116.2,
2014-12,116.3,
2015-01,114.8,
