"",BBK01.OEAE07R,BBK01.OEAE07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:34,
2002-01,0.509,
2002-04,0.499,
2002-07,0.500,
2002-10,0.512,
2003-01,0.506,
2003-04,0.513,
2003-07,0.512,
2003-10,0.513,
2004-01,0.510,
2004-04,0.515,
2004-07,0.502,
2004-10,0.497,
2005-01,0.517,
2005-04,0.500,
2005-07,0.507,
2005-10,0.519,
2006-01,0.493,
2006-04,0.544,
2006-07,0.532,
2006-10,0.543,
2007-01,0.542,
2007-04,0.546,
2007-07,0.545,
2007-10,0.562,
2008-01,0.566,
2008-04,0.565,
2008-07,0.572,
2008-10,0.573,
2009-01,0.556,
2009-04,0.580,
2009-07,0.580,
2009-10,0.835,
2010-01,0.607,
2010-04,0.599,
2010-07,0.592,
2010-10,0.596,
2011-01,0.618,
2011-04,0.622,
2011-07,0.618,
2011-10,0.623,
2012-01,0.635,
2012-04,0.917,
2012-07,0.923,
2012-10,0.936,
2013-01,0.938,
2013-04,0.942,
2013-07,0.954,
2013-10,0.968,
2014-01,1.015,
2014-04,1.023,
2014-07,1.026,
