"",BBK01.TYI302,BBK01.TYI302_FLAGS
"","Money stock M2 (From 2002, excluding currency in circulation) / German contribution / Changes",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:44,
1980-01,0,
1980-02,-121,
1980-03,1512,
1980-04,-4029,
1980-05,3328,
1980-06,3684,
1980-07,1767,
1980-08,1710,
1980-09,-1169,
1980-10,-679,
1980-11,17087,
1980-12,5073,
1981-01,-5899,
1981-02,2036,
1981-03,-1081,
1981-04,-1237,
1981-05,7362,
1981-06,646,
1981-07,-1775,
1981-08,6317,
1981-09,-1992,
1981-10,-2843,
1981-11,13656,
1981-12,5701,
1982-01,344,
1982-02,1483,
1982-03,-2557,
1982-04,-1878,
1982-05,7831,
1982-06,939,
1982-07,-1071,
1982-08,6239,
1982-09,-1162,
1982-10,-156,
1982-11,10448,
1982-12,8259,
1983-01,8,
1983-02,2641,
1983-03,-7114,
1983-04,809,
1983-05,7535,
1983-06,8,
1983-07,4203,
1983-08,991,
1983-09,-6101,
1983-10,4227,
1983-11,10987,
1983-12,4055,
1984-01,-2901,
1984-02,236,
1984-03,-9371,
1984-04,3828,
1984-05,6734,
1984-06,-3392,
1984-07,6407,
1984-08,-2720,
1984-09,4932,
1984-10,-1640,
1984-11,7574,
1984-12,12570,
1985-01,-3776,
1985-02,2833,
1985-03,-5441,
1985-04,-2946,
1985-05,3937,
1985-06,6001,
1985-07,1227,
1985-08,-3315,
1985-09,3529,
1985-10,-687,
1985-11,7594,
1985-12,14563,
1986-01,-6460,
1986-02,428,
1986-03,959,
1986-04,-4418,
1986-05,3881,
1986-06,8174,
1986-07,3204,
1986-08,4601,
1986-09,380,
1986-10,-559,
1986-11,18612,
1986-12,6366,
1987-01,-5001,
1987-02,1400,
1987-03,-499,
1987-04,-1974,
1987-05,9900,
1987-06,2003,
1987-07,-3759,
1987-08,9591,
1987-09,-3076,
1987-10,-697,
1987-11,19246,
1987-12,4540,
1988-01,-920,
1988-02,3625,
1988-03,-11758,
1988-04,4725,
1988-05,10894,
1988-06,1383,
1988-07,-387,
1988-08,3505,
1988-09,-4061,
1988-10,6683,
1988-11,19091,
1988-12,6028,
1989-01,-2101,
1989-02,2387,
1989-03,-10409,
1989-04,1956,
1989-05,7507,
1989-06,-5005,
1989-07,10165,
1989-08,1191,
1989-09,-6505,
1989-10,4801,
1989-11,18563,
1989-12,16092,
1990-01,-8696,
1990-02,3195,
1990-03,-14659,
1990-04,3824,
1990-05,7168,
1990-06,-4021,
1990-07,8992,
1990-08,-722,
1990-09,8270,
1990-10,-2085,
1990-11,13158,
1990-12,25390,
1991-01,-10479,
1991-02,8664,
1991-03,-12549,
1991-04,-1603,
1991-05,5351,
1991-06,6431,
1991-07,-700,
1991-08,-699,
1991-09,7173,
1991-10,-818,
1991-11,18345,
1991-12,32782,
1992-01,-19260,
1992-02,4675,
1992-03,-2172,
1992-04,5192,
1992-05,7148,
1992-06,2767,
1992-07,4542,
1992-08,8406,
1992-09,10446,
1992-10,560,
1992-11,23087,
1992-12,14138,
1993-01,-14828,
1993-02,5849,
1993-03,-394,
1993-04,5763,
1993-05,8936,
1993-06,2174,
1993-07,5125,
1993-08,4967,
1993-09,2,
1993-10,8634,
1993-11,28372,
1993-12,42087,
1994-01,-8478,
1994-02,888,
1994-03,-2939,
1994-04,5587,
1994-05,3035,
1994-06,-887,
1994-07,-4343,
1994-08,-469,
1994-09,-4169,
1994-10,2187,
1994-11,11172,
1994-12,12764,
1995-01,-15837,
1995-02,-2889,
1995-03,-10817,
1995-04,144,
1995-05,6909,
1995-06,-2966,
1995-07,516,
1995-08,5213,
1995-09,2238,
1995-10,6702,
1995-11,22794,
1995-12,30135,
1996-01,-10426,
1996-02,8594,
1996-03,-2486,
1996-04,4295,
1996-05,3953,
1996-06,1089,
1996-07,-233,
1996-08,5691,
1996-09,4882,
1996-10,4503,
1996-11,19088,
1996-12,50331,
1997-01,-23634,
1997-02,1803,
1997-03,-4205,
1997-04,844,
1997-05,7428,
1997-06,-1266,
1997-07,-308,
1997-08,3078,
1997-09,-2155,
1997-10,3575,
1997-11,21677,
1997-12,30280,
1998-01,-19130,
1998-02,5420,
1998-03,-2555,
1998-04,6764,
1998-05,3589,
1998-06,-625,
1998-07,-2026,
1998-08,11199,
1998-09,-1489,
1998-10,11417,
1998-11,27691,
1998-12,50282,
1999-01,-607,
1999-02,2881,
1999-03,-3389,
1999-04,3147,
1999-05,13861,
1999-06,3024,
1999-07,-3099,
1999-08,-823,
1999-09,1787,
1999-10,5339,
1999-11,25356,
1999-12,16928,
2000-01,-12686,
2000-02,1709,
2000-03,-9612,
2000-04,852,
2000-05,-6322,
2000-06,-9883,
2000-07,-9737,
2000-08,-7505,
2000-09,-3123,
2000-10,-1225,
2000-11,22667,
2000-12,25025,
2001-01,-18363,
2001-02,10135,
2001-03,2561,
2001-04,5647,
2001-05,3597,
2001-06,7616,
2001-07,-5697,
2001-08,2775,
2001-09,14354,
2001-10,411,
2001-11,19270,
2001-12,13234,
2002-01,-21569,
2002-02,-4571,
2002-03,-1109,
2002-04,-2909,
2002-05,10092,
2002-06,12364,
2002-07,-6876,
2002-08,-1323,
2002-09,6407,
2002-10,10184,
2002-11,29558,
2002-12,21071,
2003-01,-9865,
2003-02,7836,
2003-03,3557,
2003-04,7254,
2003-05,14894,
2003-06,5597,
2003-07,-11807,
2003-08,7342,
2003-09,-2183,
2003-10,685,
2003-11,23131,
2003-12,1616,
2004-01,-4448,
2004-02,1692,
2004-03,1186,
2004-04,1681,
2004-05,6259,
2004-06,-6827,
2004-07,-4119,
2004-08,3043,
2004-09,9579,
2004-10,-702,
2004-11,19655,
2004-12,3208,
2005-01,8222,
2005-02,-108,
2005-03,-6065,
2005-04,9415,
