"",BBK01.OEAF26J,BBK01.OEAF26J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:53,
2002-01,0.172,
2002-04,0.172,
2002-07,0.172,
2002-10,0.167,
2003-01,0.167,
2003-04,0.174,
2003-07,0.179,
2003-10,0.181,
2004-01,0.184,
2004-04,0.185,
2004-07,0.183,
2004-10,0.181,
2005-01,0.183,
2005-04,0.186,
2005-07,0.184,
2005-10,0.177,
2006-01,0.173,
2006-04,0.173,
2006-07,0.195,
2006-10,0.190,
2007-01,0.182,
2007-04,0.177,
2007-07,0.176,
2007-10,0.175,
2008-01,0.171,
2008-04,0.174,
2008-07,0.176,
2008-10,0.162,
2009-01,0.173,
2009-04,0.176,
2009-07,0.165,
2009-10,0.172,
2010-01,0.230,
2010-04,0.171,
2010-07,0.168,
2010-10,0.162,
2011-01,0.157,
2011-04,0.154,
2011-07,0.146,
2011-10,0.134,
2012-01,0.125,
2012-04,0.122,
2012-07,0.113,
2012-10,0.110,
2013-01,0.108,
2013-04,0.103,
2013-07,0.106,
2013-10,0.105,
2014-01,0.101,
2014-04,0.099,
2014-07,0.097,
