"",BBFN1.M.DE.N.1.L.MX.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MX.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Mexico,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:47,
1994-07,0.365,
1994-08,0.306,
1994-09,0.257,
1994-10,0.271,
1994-11,0.291,
1994-12,0.269,
1995-01,0.292,
1995-02,0.285,
1995-03,0.282,
1995-04,0.299,
1995-05,0.283,
1995-06,0.312,
1995-07,0.282,
1995-08,0.293,
1995-09,0.243,
1995-10,0.247,
1995-11,0.247,
1995-12,0.268,
1996-01,0.278,
1996-02,0.278,
1996-03,0.283,
1996-04,0.285,
1996-05,0.290,
1996-06,0.166,
1996-07,0.162,
1996-08,0.163,
1996-09,0.182,
1996-10,0.179,
1996-11,0.194,
1996-12,0.228,
1997-01,0.255,
1997-02,0.253,
1997-03,0.282,
1997-04,0.287,
1997-05,0.308,
1997-06,0.256,
1997-07,0.268,
1997-08,0.301,
1997-09,0.307,
1997-10,0.305,
1997-11,0.302,
1997-12,0.286,
1998-01,0.298,
1998-02,0.313,
1998-03,0.320,
1998-04,0.333,
1998-05,0.352,
1998-06,0.320,
1998-07,0.379,
1998-08,0.410,
1998-09,0.418,
1998-10,0.423,
1998-11,0.428,
1998-12,0.456,
1999-01,0.446,
1999-02,0.475,
1999-03,0.505,
1999-04,0.429,
1999-05,0.470,
1999-06,0.555,
1999-07,0.552,
1999-08,0.557,
1999-09,0.520,
1999-10,0.464,
1999-11,0.566,
1999-12,0.567,
2000-01,0.634,
2000-02,0.653,
2000-03,0.590,
2000-04,0.595,
2000-05,0.672,
2000-06,0.549,
2000-07,0.582,
2000-08,0.526,
2000-09,0.429,
2000-10,0.498,
2000-11,0.535,
2000-12,0.483,
2001-01,0.498,
2001-02,0.533,
2001-03,0.665,
2001-04,0.662,
2001-05,0.716,
2001-06,0.653,
2001-07,0.645,
2001-08,0.721,
2001-09,0.703,
2001-10,0.690,
2001-11,0.715,
2001-12,0.728,
2002-01,0.755,
2002-02,0.735,
2002-03,0.728,
2002-04,0.626,
2002-05,0.696,
2002-06,0.718,
2002-07,0.740,
2002-08,0.773,
2002-09,0.616,
2002-10,0.584,
2002-11,0.602,
2002-12,0.547,
2003-01,0.527,
2003-02,0.476,
2003-03,0.505,
2003-04,0.497,
2003-05,0.516,
2003-06,0.485,
2003-07,0.537,
2003-08,0.562,
2003-09,0.385,
2003-10,0.429,
2003-11,0.404,
2003-12,0.410,
2004-01,0.384,
2004-02,0.399,
2004-03,0.405,
2004-04,0.438,
2004-05,0.426,
2004-06,0.434,
2004-07,0.461,
2004-08,0.435,
2004-09,0.417,
2004-10,0.415,
2004-11,0.337,
2004-12,0.405,
2005-01,0.415,
2005-02,0.415,
2005-03,0.452,
2005-04,0.436,
2005-05,0.443,
2005-06,0.449,
2005-07,0.460,
2005-08,0.437,
2005-09,0.447,
2005-10,0.394,
2005-11,0.461,
2005-12,0.486,
2006-01,0.462,
2006-02,0.403,
2006-03,0.470,
2006-04,0.484,
2006-05,0.479,
2006-06,0.557,
2006-07,0.523,
2006-08,0.579,
2006-09,0.600,
2006-10,0.557,
2006-11,0.493,
2006-12,0.590,
2007-01,0.497,
2007-02,0.568,
2007-03,0.596,
2007-04,0.609,
2007-05,0.501,
2007-06,0.517,
2007-07,0.553,
2007-08,0.519,
2007-09,0.532,
2007-10,0.484,
2007-11,0.504,
2007-12,0.539,
2008-01,0.489,
2008-02,0.472,
2008-03,0.477,
2008-04,0.491,
2008-05,0.534,
2008-06,0.471,
2008-07,0.582,
2008-08,0.534,
2008-09,0.411,
2008-10,0.530,
2008-11,0.564,
2008-12,0.511,
2009-01,0.467,
2009-02,0.509,
2009-03,0.521,
2009-04,0.461,
2009-05,0.528,
2009-06,0.464,
2009-07,0.425,
2009-08,0.443,
2009-09,0.451,
2009-10,0.480,
2009-11,0.445,
2009-12,0.620,
2010-01,0.606,
2010-02,0.560,
2010-03,0.565,
2010-04,0.534,
2010-05,0.533,
2010-06,0.587,
2010-07,0.407,
2010-08,0.361,
2010-09,0.401,
2010-10,0.363,
2010-11,0.385,
2010-12,0.409,
2011-01,0.392,
2011-02,0.378,
2011-03,0.432,
2011-04,0.379,
2011-05,0.401,
2011-06,0.351,
2011-07,0.391,
2011-08,0.413,
2011-09,0.410,
2011-10,0.452,
2011-11,0.504,
2011-12,0.465,
2012-01,0.410,
2012-02,0.649,
2012-03,0.524,
2012-04,0.484,
2012-05,0.467,
2012-06,0.541,
2012-07,0.477,
2012-08,0.540,
2012-09,0.552,
2012-10,0.560,
2012-11,0.609,
2012-12,0.587,
2013-01,0.606,
2013-02,0.578,
2013-03,0.558,
2013-04,0.528,
2013-05,0.502,
2013-06,0.538,
2013-07,0.558,
2013-08,0.552,
2013-09,0.515,
2013-10,0.468,
2013-11,0.554,
2013-12,0.631,
2014-01,0.646,
2014-02,0.636,
2014-03,0.627,
2014-04,0.560,
2014-05,0.612,
2014-06,0.640,
2014-07,0.576,
2014-08,0.619,
2014-09,0.578,
2014-10,0.652,
2014-11,0.650,
2014-12,0.670,
