"",BBK01.OEHK06N,BBK01.OEHK06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:58,
2002-01,0.644,
2002-04,0.642,
2002-07,0.632,
2002-10,0.615,
2003-01,0.623,
2003-04,0.616,
2003-07,0.607,
2003-10,0.677,
2004-01,0.586,
2004-04,0.559,
2004-07,0.542,
2004-10,0.617,
2005-01,0.612,
2005-04,0.611,
2005-07,0.615,
2005-10,0.619,
2006-01,0.623,
2006-04,0.629,
2006-07,0.645,
2006-10,0.668,
2007-01,0.666,
2007-04,0.680,
2007-07,0.722,
2007-10,0.758,
2008-01,0.735,
2008-04,0.746,
2008-07,0.766,
2008-10,0.802,
2009-01,0.757,
2009-04,0.730,
2009-07,0.656,
2009-10,0.573,
2010-01,0.562,
2010-04,0.536,
2010-07,0.512,
2010-10,0.515,
2011-01,0.530,
2011-04,0.570,
2011-07,0.590,
2011-10,0.613,
2012-01,0.622,
2012-04,0.619,
2012-07,0.602,
2012-10,0.571,
2013-01,0.533,
2013-04,0.501,
2013-07,0.483,
2013-10,0.460,
2014-01,0.430,
2014-04,0.422,
2014-07,0.397,
