"",BBK01.WXI008,BBK01.WXI008_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:46,
2009-01,326,
2009-02,274,
2009-03,296,
2009-04,87,
2009-05,100,
2009-06,113,
2009-07,115,
2009-08,89,
2009-09,83,
2009-10,104,
2009-11,87,
2009-12,82,
2010-01,90,
2010-02,69,
2010-03,74,
2010-04,91,
2010-05,95,
2010-06,114,
2010-07,105,
2010-08,96,
2010-09,75,
2010-10,64,
2010-11,91,
2010-12,66,
2011-01,297,
2011-02,104,
2011-03,95,
2011-04,74,
2011-05,95,
2011-06,97,
2011-07,214,
2011-08,102,
2011-09,138,
2011-10,158,
2011-11,139,
2011-12,78,
2012-01,92,
2012-02,72,
2012-03,87,
2012-04,80,
2012-05,87,
2012-06,71,
2012-07,60,
2012-08,89,
2012-09,74,
2012-10,74,
2012-11,91,
2012-12,63,
2013-01,135,
2013-02,153,
2013-03,118,
2013-04,65,
2013-05,107,
2013-06,223,
2013-07,47,
2013-08,64,
2013-09,49,
2013-10,140,
2013-11,156,
2013-12,47,
2014-01,48,
2014-02,49,
2014-03,25,
2014-04,53,
2014-05,25,
2014-06,32,
2014-07,133,
2014-08,127,
2014-09,25,
2014-10,19,
2014-11,114,
