"",BBFN1.M.DE.N.1.A.F1.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.F1.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Countries in Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:04,
1995-01,0.489,
1995-02,0.461,
1995-03,0.480,
1995-04,0.495,
1995-05,0.508,
1995-06,0.518,
1995-07,0.508,
1995-08,0.483,
1995-09,0.495,
1995-10,0.485,
1995-11,0.496,
1995-12,0.511,
1996-01,0.539,
1996-02,0.538,
1996-03,0.557,
1996-04,0.549,
1996-05,0.588,
1996-06,0.612,
1996-07,0.627,
1996-08,0.560,
1996-09,0.592,
1996-10,0.628,
1996-11,0.626,
1996-12,0.646,
1997-01,0.672,
1997-02,0.730,
1997-03,0.696,
1997-04,0.737,
1997-05,0.718,
1997-06,0.729,
1997-07,0.731,
1997-08,0.801,
1997-09,0.784,
1997-10,0.778,
1997-11,0.757,
1997-12,0.727,
1998-01,0.609,
1998-02,0.646,
1998-03,0.653,
1998-04,0.697,
1998-05,0.692,
1998-06,0.865,
1998-07,0.853,
1998-08,0.874,
1998-09,0.830,
1998-10,0.880,
1998-11,0.892,
1998-12,1.002,
1999-01,0.895,
1999-02,0.906,
1999-03,0.991,
1999-04,1.010,
1999-05,1.066,
1999-06,0.942,
1999-07,1.137,
1999-08,1.117,
1999-09,1.154,
1999-10,1.163,
1999-11,1.054,
1999-12,1.087,
2000-01,1.231,
2000-02,1.209,
2000-03,1.288,
2000-04,1.331,
2000-05,1.326,
2000-06,1.132,
2000-07,1.148,
2000-08,1.220,
2000-09,1.279,
2000-10,1.285,
2000-11,1.290,
2000-12,1.458,
2001-01,1.502,
2001-02,1.506,
2001-03,1.533,
2001-04,1.586,
2001-05,1.673,
2001-06,1.573,
2001-07,1.588,
2001-08,1.677,
2001-09,1.685,
2001-10,1.531,
2001-11,1.545,
2001-12,1.572,
2002-01,1.481,
2002-02,1.530,
2002-03,1.536,
2002-04,1.558,
2002-05,1.664,
2002-06,1.683,
2002-07,1.576,
2002-08,1.474,
2002-09,1.545,
2002-10,1.555,
2002-11,1.573,
2002-12,1.568,
2003-01,1.384,
2003-02,1.569,
2003-03,1.475,
2003-04,1.425,
2003-05,1.274,
2003-06,1.199,
2003-07,1.084,
2003-08,1.124,
2003-09,1.060,
2003-10,1.073,
2003-11,1.121,
2003-12,1.118,
2004-01,1.132,
2004-02,1.075,
2004-03,1.066,
2004-04,1.052,
2004-05,1.034,
2004-06,1.082,
2004-07,1.105,
2004-08,1.150,
2004-09,1.128,
2004-10,1.140,
2004-11,1.155,
2004-12,1.121,
2005-01,1.097,
2005-02,1.200,
2005-03,1.125,
2005-04,1.104,
2005-05,1.124,
2005-06,1.152,
2005-07,1.224,
2005-08,1.254,
2005-09,1.115,
2005-10,1.138,
2005-11,1.113,
2005-12,1.102,
2006-01,0.928,
2006-02,1.057,
2006-03,0.937,
2006-04,0.944,
2006-05,0.923,
2006-06,0.975,
2006-07,0.972,
2006-08,1.018,
2006-09,1.047,
2006-10,1.046,
2006-11,1.073,
2006-12,1.022,
2007-01,0.973,
2007-02,0.976,
2007-03,0.889,
2007-04,0.958,
2007-05,0.930,
2007-06,1.039,
2007-07,0.945,
2007-08,0.933,
2007-09,0.904,
2007-10,0.887,
2007-11,0.959,
2007-12,0.925,
2008-01,1.027,
2008-02,1.141,
2008-03,1.138,
2008-04,1.216,
2008-05,1.265,
2008-06,1.541,
2008-07,1.465,
2008-08,1.483,
2008-09,1.456,
2008-10,1.358,
2008-11,1.395,
2008-12,1.463,
2009-01,1.481,
2009-02,1.454,
2009-03,1.452,
2009-04,1.493,
2009-05,1.509,
2009-06,1.676,
2009-07,1.732,
2009-08,1.870,
2009-09,1.756,
2009-10,1.706,
2009-11,1.737,
2009-12,1.687,
2010-01,1.747,
2010-02,1.763,
2010-03,1.822,
2010-04,1.778,
2010-05,1.790,
2010-06,1.747,
2010-07,1.727,
2010-08,1.740,
2010-09,1.773,
2010-10,1.746,
2010-11,1.780,
2010-12,1.783,
2011-01,1.732,
2011-02,1.750,
2011-03,1.814,
2011-04,1.768,
2011-05,1.829,
2011-06,1.811,
2011-07,1.787,
2011-08,1.810,
2011-09,1.824,
2011-10,1.890,
2011-11,1.921,
2011-12,1.965,
2012-01,1.912,
2012-02,1.919,
2012-03,1.935,
2012-04,2.036,
2012-05,1.925,
2012-06,1.937,
2012-07,1.809,
2012-08,1.792,
2012-09,1.823,
2012-10,1.820,
2012-11,1.890,
2012-12,1.710,
2013-01,1.747,
2013-02,1.678,
2013-03,1.821,
2013-04,1.770,
2013-05,1.707,
2013-06,1.804,
2013-07,2.247,
2013-08,2.378,
2013-09,2.230,
2013-10,2.185,
2013-11,2.073,
2013-12,2.026,
2014-01,2.018,
2014-02,2.023,
2014-03,2.079,
2014-04,2.140,
2014-05,2.137,
2014-06,2.130,
2014-07,2.137,
2014-08,2.218,
2014-09,2.182,
2014-10,2.156,
2014-11,2.476,
2014-12,2.533,
