"",BBK01.OEXO01M,BBK01.OEXO01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:05,
2002-01,3.664,
2002-04,3.567,
2002-07,3.462,
2002-10,3.433,
2003-01,3.469,
2003-04,3.522,
2003-07,3.483,
2003-10,3.416,
2004-01,3.439,
2004-04,3.376,
2004-07,3.318,
2004-10,3.010,
2005-01,3.126,
2005-04,3.153,
2005-07,3.146,
2005-10,3.061,
2006-01,3.127,
2006-04,3.116,
2006-07,3.106,
2006-10,3.074,
2007-01,3.112,
2007-04,3.260,
2007-07,3.302,
2007-10,3.342,
2008-01,3.527,
2008-04,3.545,
2008-07,3.168,
2008-10,3.183,
2009-01,3.724,
2009-04,3.707,
2009-07,3.518,
2009-10,3.856,
2010-01,3.668,
2010-04,3.569,
2010-07,3.705,
2010-10,3.697,
2011-01,4.058,
2011-04,4.473,
2011-07,4.431,
2011-10,4.445,
2012-01,4.508,
2012-04,4.391,
2012-07,4.371,
2012-10,4.305,
2013-01,4.247,
2013-04,4.081,
2013-07,3.950,
2013-10,3.920,
2014-01,3.942,
2014-04,3.920,
2014-07,3.886,
