"",BBSF2.M.1.T.00000.TOT01.I.F.INV.U2.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.U2.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / Euro area (changing composition),
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:08,
2009-09,92785,
2009-10,96743,
2009-11,100043,
2009-12,105029,
2010-01,106619,
2010-02,108835,
2010-03,114387,
2010-04,117811,
2010-05,117836,
2010-06,117973,
2010-07,121244,
2010-08,128636,
2010-09,131097,
2010-10,134668,
2010-11,137751,
2010-12,141268,
2011-01,141086,
2011-02,146088,
2011-03,144115,
2011-04,147566,
2011-05,148430,
2011-06,147263,
2011-07,148728,
2011-08,140168,
2011-09,138555,
2011-10,142243,
2011-11,143436,
2011-12,147792,
2012-01,153627,
2012-02,163324,
2012-03,164177,
2012-04,164881,
2012-05,163264,
2012-06,165764,
2012-07,179909,
2012-08,182024,
2012-09,184527,
2012-10,189107,
2012-11,192496,
2012-12,202196,
2013-01,205990,
2013-02,209836,
2013-03,215423,
2013-04,220984,
2013-05,219885,
2013-06,211200,
2013-07,218624,
2013-08,216755,
2013-09,221937,
2013-10,229339,
2013-11,230885,
2013-12,230848,
2014-01,230722,
2014-02,235720,
2014-03,236637,
2014-04,240271,
2014-05,245988,
2014-06,249630,
2014-07,256235,
2014-08,262002,
2014-09,261665,
2014-10,262387,
2014-11,269558,
