"",BBSF2.M.1.S.00000.TOT01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.TOT01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Funds total / Short-term debt securities / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:00,
2009-09,1770,
2009-10,1331,
2009-11,1242,
2009-12,1412,
2010-01,1639,
2010-02,1349,
2010-03,943,
2010-04,929,
2010-05,1513,
2010-06,1527,
2010-07,1397,
2010-08,1420,
2010-09,1535,
2010-10,1377,
2010-11,1516,
2010-12,2428,
2011-01,2599,
2011-02,2977,
2011-03,2582,
2011-04,2858,
2011-05,2949,
2011-06,3153,
2011-07,3198,
2011-08,2498,
2011-09,2222,
2011-10,1889,
2011-11,2215,
2011-12,2053,
2012-01,1859,
2012-02,1633,
2012-03,1594,
2012-04,1738,
2012-05,1793,
2012-06,1703,
2012-07,1345,
2012-08,1286,
2012-09,1063,
2012-10,865,
2012-11,730,
2012-12,529,
2013-01,683,
2013-02,777,
2013-03,721,
2013-04,661,
2013-05,713,
2013-06,1208,
2013-07,1417,
2013-08,1468,
2013-09,1642,
2013-10,2193,
2013-11,1814,
2013-12,1596,
2014-01,1614,
2014-02,1529,
2014-03,1528,
2014-04,1555,
2014-05,2070,
2014-06,1925,
2014-07,1968,
2014-08,1765,
2014-09,1700,
2014-10,1312,
2014-11,1233,
