"",BBK01.OECB14I,BBK01.OECB14I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:03,
2002-01,0.569,
2002-04,0.593,
2002-07,0.567,
2002-10,0.604,
2003-01,0.541,
2003-04,0.569,
2003-07,0.536,
2003-10,0.577,
2004-01,0.508,
2004-04,0.522,
2004-07,0.510,
2004-10,0.499,
2005-01,0.518,
2005-04,0.492,
2005-07,0.491,
2005-10,0.483,
2006-01,0.405,
2006-04,0.392,
2006-07,0.371,
2006-10,0.346,
2007-01,0.307,
2007-04,0.270,
2007-07,0.234,
2007-10,0.251,
2008-01,0.240,
2008-04,0.227,
2008-07,0.220,
2008-10,0.208,
2009-01,0.200,
2009-04,0.210,
2009-07,0.199,
2009-10,0.186,
2010-01,0.179,
2010-04,0.177,
2010-07,0.186,
2010-10,0.169,
2011-01,0.182,
2011-04,0.174,
2011-07,0.169,
2011-10,0.163,
2012-01,0.162,
2012-04,0.181,
2012-07,0.155,
2012-10,0.165,
2013-01,0.159,
2013-04,0.154,
2013-07,0.157,
2013-10,0.149,
2014-01,0.146,
2014-04,0.145,
2014-07,0.143,
