"",BBK01.OEAE28S,BBK01.OEAE28S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:58,
2002-01,6.726,
2002-04,6.709,
2002-07,6.613,
2002-10,6.482,
2003-01,6.385,
2003-04,6.425,
2003-07,6.432,
2003-10,6.427,
2004-01,6.356,
2004-04,6.343,
2004-07,6.344,
2004-10,4.908,
2005-01,4.948,
2005-04,4.963,
2005-07,4.933,
2005-10,4.960,
2006-01,4.965,
2006-04,5.009,
2006-07,5.045,
2006-10,5.068,
2007-01,5.083,
2007-04,5.043,
2007-07,5.131,
2007-10,5.288,
2008-01,5.287,
2008-04,5.324,
2008-07,5.341,
2008-10,5.371,
2009-01,5.254,
2009-04,5.418,
2009-07,5.411,
2009-10,5.771,
2010-01,5.527,
2010-04,5.597,
2010-07,5.765,
2010-10,5.942,
2011-01,5.935,
2011-04,6.003,
2011-07,6.051,
2011-10,6.136,
2012-01,6.160,
2012-04,6.560,
2012-07,6.626,
2012-10,6.714,
2013-01,6.711,
2013-04,6.765,
2013-07,6.849,
2013-10,6.929,
2014-01,6.922,
2014-04,6.919,
2014-07,6.952,
