"",BBK01.OEYB24N,BBK01.OEYB24N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:36,
2002-01,54.576,
2002-04,55.686,
2002-07,56.177,
2002-10,53.407,
2003-01,50.523,
2003-04,50.240,
2003-07,50.071,
2003-10,45.580,
2004-01,47.293,
2004-04,46.596,
2004-07,47.016,
2004-10,45.325,
2005-01,46.115,
2005-04,46.328,
2005-07,47.669,
2005-10,48.351,
2006-01,48.297,
2006-04,48.116,
2006-07,48.873,
2006-10,49.709,
2007-01,47.421,
2007-04,47.690,
2007-07,48.427,
2007-10,47.931,
2008-01,46.255,
2008-04,47.232,
2008-07,35.628,
2008-10,36.223,
2009-01,35.760,
2009-04,36.425,
2009-07,36.868,
2009-10,37.859,
2010-01,38.209,
2010-04,38.951,
2010-07,38.840,
2010-10,38.654,
2011-01,38.216,
2011-04,37.899,
2011-07,37.862,
2011-10,37.967,
2012-01,37.793,
2012-04,37.768,
2012-07,37.808,
2012-10,37.385,
2013-01,35.854,
2013-04,35.691,
2013-07,33.898,
2013-10,33.415,
2014-01,32.923,
2014-04,32.901,
2014-07,32.581,
