"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00011.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00011.000000.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:46,
2009-09,145054,
2009-10,141873,
2009-11,143879,
2009-12,153826,
2010-01,149672,
2010-02,151155,
2010-03,163889,
2010-04,169705,
2010-05,161634,
2010-06,156097,
2010-07,157645,
2010-08,155725,
2010-09,164287,
2010-10,171294,
2010-11,176719,
2010-12,187157,
2011-01,184675,
2011-02,186360,
2011-03,183282,
2011-04,187644,
2011-05,187161,
2011-06,183801,
2011-07,183785,
2011-08,160188,
2011-09,151888,
2011-10,165836,
2011-11,161867,
2011-12,164646,
2012-01,171751,
2012-02,177217,
2012-03,176914,
2012-04,174074,
2012-05,165030,
2012-06,167561,
2012-07,179121,
2012-08,179433,
2012-09,181288,
2012-10,179728,
2012-11,181833,
2012-12,185895,
2013-01,190570,
2013-02,194227,
2013-03,200195,
2013-04,201152,
2013-05,206397,
2013-06,195834,
2013-07,205484,
2013-08,204760,
2013-09,212462,
2013-10,219774,
2013-11,225418,
2013-12,224606,
2014-01,217837,
2014-02,226913,
2014-03,226451,
2014-04,229920,
2014-05,236070,
2014-06,237250,
2014-07,232980,
2014-08,237354,
2014-09,234527,
2014-10,231312,
2014-11,239046,
