"",BBK01.OELB14O,BBK01.OELB14O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:33,
2002-01,1.134,
2002-04,1.158,
2002-07,1.135,
2002-10,1.111,
2003-01,1.103,
2003-04,1.095,
2003-07,1.089,
2003-10,1.050,
2004-01,1.046,
2004-04,1.044,
2004-07,1.014,
2004-10,0.991,
2005-01,0.970,
2005-04,0.965,
2005-07,0.951,
2005-10,0.920,
2006-01,0.925,
2006-04,0.924,
2006-07,0.895,
2006-10,0.844,
2007-01,0.858,
2007-04,0.882,
2007-07,0.854,
2007-10,0.831,
2008-01,0.847,
2008-04,0.868,
2008-07,0.850,
2008-10,0.869,
2009-01,0.882,
2009-04,0.913,
2009-07,0.890,
2009-10,0.872,
2010-01,0.863,
2010-04,0.903,
2010-07,0.855,
2010-10,0.828,
2011-01,0.841,
2011-04,0.856,
2011-07,0.815,
2011-10,0.774,
2012-01,0.787,
2012-04,0.807,
2012-07,0.769,
2012-10,0.747,
2013-01,0.767,
2013-04,0.775,
2013-07,0.738,
2013-10,0.699,
2014-01,0.723,
2014-04,0.751,
2014-07,0.734,
