"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F2.S._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F2.S._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Currency and deposits / Monetary financial institutions / Short-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:13,
1991-01,-31.480,
1991-02,2197.651,
1991-03,8356.142,
1991-04,-3210.192,
1991-05,-3320.528,
1991-06,4483.555,
1991-07,-765.432,
1991-08,3415.028,
1991-09,-3085.702,
1991-10,2488.163,
1991-11,-303.179,
1991-12,341.225,
1992-01,1774.054,
1992-02,1982.929,
1992-03,4267.395,
1992-04,857.504,
1992-05,84.197,
1992-06,1712.320,
1992-07,-1037.448,
1992-08,3834.041,
1992-09,14507.286,
1992-10,-4918.914,
1992-11,2178.765,
1992-12,410.415,
1993-01,-815.745,
1993-02,4306.259,
1993-03,1481.013,
1993-04,-2830.327,
1993-05,74.369,
1993-06,3403.511,
1993-07,841.238,
1993-08,3221.255,
1993-09,-2182.410,
1993-10,773.337,
1993-11,-989.284,
1993-12,3116.158,
1994-01,7720.970,
1994-02,-2283.475,
1994-03,3224.998,
1994-04,1700.622,
1994-05,4292.307,
1994-06,-122.199,
1994-07,3579.524,
1994-08,4945.361,
1994-09,1517.844,
1994-10,2769.590,
1994-11,-1361.497,
1994-12,11794.035,
1995-01,667.210,
1995-02,12226.638,
1995-03,2296.827,
1995-04,4676.387,
1995-05,4169.655,
1995-06,1514.049,
1995-07,-3817.102,
1995-08,7667.920,
1995-09,3483.788,
1995-10,839.448,
1995-11,-1768.217,
1995-12,-1358.599,
1996-01,-1465.443,
1996-02,-197.124,
1996-03,3300.650,
1996-04,6064.170,
1996-05,54.504,
1996-06,-827.808,
1996-07,-7214.941,
1996-08,-2378.023,
1996-09,10.604,
1996-10,-2034.429,
1996-11,11504.930,
1996-12,1591.311,
1997-01,10246.982,
1997-02,12802.386,
1997-03,14845.817,
1997-04,5993.524,
1997-05,3247.542,
1997-06,10246.097,
1997-07,-3312.286,
1997-08,3065.084,
1997-09,-5256.687,
1997-10,25317.294,
1997-11,6878.118,
1997-12,-4937.134,
1998-01,10531.704,
1998-02,1779.059,
1998-03,21182.344,
1998-04,5167.589,
1998-05,19389.445,
1998-06,4434.211,
1998-07,-12944.543,
1998-08,10360.736,
1998-09,3938.229,
1998-10,27845.825,
1998-11,36616.331,
1998-12,-16753.931,
1999-01,59465.000,
1999-02,-29754.000,
1999-03,5048.000,
1999-04,8993.000,
1999-05,1485.000,
1999-06,-4614.000,
1999-07,-9158.000,
1999-08,7126.000,
1999-09,7477.000,
1999-10,7436.000,
1999-11,26388.000,
1999-12,-19739.000,
2000-01,25882.000,
2000-02,13646.000,
2000-03,26784.000,
2000-04,21438.000,
2000-05,27153.871,
2000-06,-42222.000,
2000-07,-17195.000,
2000-08,15778.000,
2000-09,4617.000,
2000-10,-3257.111,
2000-11,19793.000,
2000-12,7211.000,
2001-01,39650.000,
2001-02,25938.000,
2001-03,68180.000,
2001-04,20123.000,
2001-05,-4633.000,
2001-06,-51853.796,
2001-07,-25856.000,
2001-08,20149.000,
2001-09,-8805.000,
2001-10,3893.000,
2001-11,3569.109,
2001-12,-40438.000,
2002-01,18568.616,
2002-02,-21524.000,
2002-03,12522.000,
2002-04,32304.000,
2002-05,10424.000,
2002-06,-42322.000,
2002-07,5576.227,
2002-08,-2619.379,
2002-09,19931.512,
2002-10,849.252,
2002-11,23345.852,
2002-12,-46981.494,
2003-01,17202.963,
2003-02,8016.000,
2003-03,19131.000,
2003-04,15238.924,
2003-05,-1679.000,
2003-06,-13904.000,
2003-07,-4061.037,
2003-08,-25525.000,
2003-09,27564.890,
