"",BBNZ1.Q.DE.S.G.0025.A,BBNZ1.Q.DE.S.G.0025.A_FLAGS
"",Germany / National accounts / Overall economy / National income / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:04,
1991-01,299.711,
1991-04,306.166,
1991-07,306.206,
1991-10,311.912,
1992-01,323.725,
1992-04,323.823,
1992-07,328.425,
1992-10,328.199,
1993-01,326.546,
1993-04,331.288,
1993-07,333.319,
1993-10,333.093,
1994-01,337.238,
1994-04,340.604,
1994-07,344.719,
1994-10,350.400,
1995-01,352.125,
1995-04,356.548,
1995-07,357.837,
1995-10,359.655,
1996-01,355.784,
1996-04,360.485,
1996-07,362.364,
1996-10,366.615,
1997-01,354.936,
1997-04,370.148,
1997-07,370.053,
1997-10,372.521,
1998-01,372.057,
1998-04,370.454,
1998-07,376.845,
1998-10,377.273,
1999-01,373.437,
1999-04,378.965,
1999-07,380.935,
1999-10,382.788,
2000-01,389.926,
2000-04,386.744,
2000-07,385.707,
2000-10,388.333,
2001-01,397.397,
2001-04,396.419,
2001-07,397.444,
2001-10,401.368,
2002-01,396.370,
2002-04,400.985,
2002-07,404.668,
2002-10,401.421,
2003-01,398.608,
2003-04,398.703,
2003-07,408.742,
2003-10,404.566,
2004-01,417.256,
2004-04,426.154,
2004-07,423.747,
2004-10,422.819,
2005-01,419.470,
2005-04,434.526,
2005-07,430.016,
2005-10,431.492,
2006-01,444.645,
2006-04,450.932,
2006-07,454.027,
2006-10,461.461,
2007-01,468.825,
2007-04,465.590,
2007-07,472.089,
2007-10,477.111,
2008-01,478.340,
2008-04,482.124,
2008-07,475.627,
2008-10,463.697,
2009-01,447.808,
2009-04,447.588,
2009-07,459.640,
2009-10,466.609,
2010-01,470.079,
2010-04,476.457,
2010-07,483.141,
2010-10,493.293,
2011-01,503.762,
2011-04,502.951,
2011-07,509.920,
2011-10,510.701,
2012-01,516.647,
2012-04,510.796,
2012-07,513.890,
2012-10,514.014,
2013-01,515.340,
2013-04,527.449,
2013-07,525.955,
2013-10,531.195,
2014-01,540.471,
2014-04,540.645,
2014-07,545.307,
2014-10,546.507,
