"",BBK01.OEHJ02P,BBK01.OEHJ02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:22,
2002-01,0.404,
2002-04,0.416,
2002-07,0.415,
2002-10,0.445,
2003-01,0.405,
2003-04,0.462,
2003-07,0.453,
2003-10,0.505,
2004-01,0.470,
2004-04,0.522,
2004-07,0.482,
2004-10,0.546,
2005-01,0.496,
2005-04,0.519,
2005-07,0.530,
2005-10,0.540,
2006-01,0.538,
2006-04,0.556,
2006-07,0.616,
2006-10,0.634,
2007-01,0.666,
2007-04,0.570,
2007-07,0.634,
2007-10,0.626,
2008-01,0.698,
2008-04,0.622,
2008-07,0.605,
2008-10,0.685,
2009-01,0.636,
2009-04,0.714,
2009-07,0.731,
2009-10,0.752,
2010-01,0.757,
2010-04,0.825,
2010-07,0.813,
2010-10,0.799,
2011-01,0.763,
2011-04,0.743,
2011-07,0.737,
2011-10,0.769,
2012-01,0.703,
2012-04,0.743,
2012-07,0.867,
2012-10,1.011,
2013-01,1.078,
2013-04,0.995,
2013-07,1.035,
2013-10,1.096,
2014-01,1.033,
2014-04,1.022,
2014-07,1.096,
