"",BBK01.OEYB22U,BBK01.OEYB22U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:58,
2002-01,0.099,
2002-04,0.085,
2002-07,0.086,
2002-10,0.098,
2003-01,0.095,
2003-04,0.096,
2003-07,0.097,
2003-10,0.102,
2004-01,0.095,
2004-04,0.095,
2004-07,0.108,
2004-10,0.074,
2005-01,0.071,
2005-04,0.061,
2005-07,0.061,
2005-10,0.047,
2006-01,0.046,
2006-04,0.049,
2006-07,0.045,
2006-10,0.039,
2007-01,0.042,
2007-04,0.043,
2007-07,0.048,
2007-10,0.022,
2008-01,0.023,
2008-04,0.027,
2008-07,0.033,
2008-10,0.019,
2009-01,0.020,
2009-04,0.027,
2009-07,0.021,
2009-10,0.029,
2010-01,0.028,
2010-04,0.017,
2010-07,0.028,
2010-10,0.012,
2011-01,0.018,
2011-04,0.021,
2011-07,0.020,
2011-10,0.009,
2012-01,0.016,
2012-04,0.019,
2012-07,0.020,
2012-10,0.010,
2013-01,0.015,
2013-04,0.012,
2013-07,0.015,
2013-10,0.010,
2014-01,0.015,
2014-04,0.023,
2014-07,0.021,
