"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.IT.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.IT.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Italy,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:47,
2009-09,7437,
2009-10,7497,
2009-11,7506,
2009-12,7881,
2010-01,7818,
2010-02,7914,
2010-03,7965,
2010-04,7448,
2010-05,7554,
2010-06,7421,
2010-07,7990,
2010-08,7895,
2010-09,8166,
2010-10,8490,
2010-11,7671,
2010-12,7525,
2011-01,7743,
2011-02,8211,
2011-03,8241,
2011-04,8217,
2011-05,7858,
2011-06,7621,
2011-07,6947,
2011-08,6266,
2011-09,5829,
2011-10,5979,
2011-11,5273,
2011-12,5516,
2012-01,6365,
2012-02,6654,
2012-03,6491,
2012-04,6327,
2012-05,5895,
2012-06,5996,
2012-07,6062,
2012-08,6574,
2012-09,7108,
2012-10,7514,
2012-11,8040,
2012-12,8218,
2013-01,8726,
2013-02,8252,
2013-03,8027,
2013-04,8328,
2013-05,8131,
2013-06,7662,
2013-07,8207,
2013-08,8320,
2013-09,8688,
2013-10,9245,
2013-11,9452,
2013-12,9716,
2014-01,10351,
2014-02,10959,
2014-03,11302,
2014-04,11609,
2014-05,11772,
2014-06,11757,
2014-07,11964,
2014-08,12070,
2014-09,12245,
2014-10,12710,
2014-11,13355,
