"",BBK01.OEAE26I,BBK01.OEAE26I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:28,
2002-01,0.609,
2002-04,0.624,
2002-07,0.563,
2002-10,0.585,
2003-01,0.542,
2003-04,0.505,
2003-07,0.533,
2003-10,0.482,
2004-01,0.439,
2004-04,0.386,
2004-07,0.396,
2004-10,0.399,
2005-01,0.370,
2005-04,0.371,
2005-07,0.387,
2005-10,0.400,
2006-01,0.403,
2006-04,0.383,
2006-07,0.340,
2006-10,0.260,
2007-01,0.245,
2007-04,0.222,
2007-07,0.171,
2007-10,0.203,
2008-01,0.203,
2008-04,0.216,
2008-07,0.233,
2008-10,0.235,
2009-01,0.207,
2009-04,0.196,
2009-07,0.228,
2009-10,0.029,
2010-01,0.036,
2010-04,0.040,
2010-07,0.034,
2010-10,0.022,
2011-01,0.023,
2011-04,0.025,
2011-07,0.022,
2011-10,0.017,
2012-01,0.016,
2012-04,0.019,
2012-07,0.019,
2012-10,0.019,
2013-01,0.019,
2013-04,0.016,
2013-07,0.015,
2013-10,0.016,
2014-01,0.015,
2014-04,0.015,
2014-07,0.014,
