"",BBK01.OXA7D9,BBK01.OXA7D9_FLAGS
"",Net total of other loans sold to/bought from domestic households during the reporting period - of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:50,
2009-12,-0.047,
2010-01,-0.020,
2010-02,-0.307,
2010-03,-0.056,
2010-04,-0.042,
2010-05,-0.050,
2010-06,-0.036,
2010-07,-0.024,
2010-08,-0.123,
2010-09,-0.051,
2010-10,-0.040,
2010-11,-0.095,
2010-12,-0.041,
2011-01,-0.076,
2011-02,-0.025,
2011-03,-0.067,
2011-04,-0.022,
2011-05,-0.084,
2011-06,-0.031,
2011-07,-0.026,
2011-08,-0.085,
2011-09,-0.059,
2011-10,-0.062,
2011-11,-0.065,
2011-12,-0.054,
2012-01,-0.083,
2012-02,-0.024,
2012-03,-0.064,
2012-04,-0.079,
2012-05,-0.056,
2012-06,-0.033,
2012-07,-0.074,
2012-08,-0.062,
2012-09,-0.028,
2012-10,-0.056,
2012-11,-0.094,
2012-12,-0.082,
2013-01,-0.109,
2013-02,-0.060,
2013-03,-0.101,
2013-04,-0.111,
2013-05,-0.091,
2013-06,-0.031,
2013-07,-0.119,
2013-08,-0.070,
2013-09,-0.107,
2013-10,-0.108,
2013-11,-0.085,
2013-12,-0.086,
2014-01,-0.108,
2014-02,-0.037,
2014-03,-0.074,
2014-04,-0.069,
2014-05,-0.044,
2014-06,-0.080,
2014-07,-0.070,
2014-08,-0.006,
2014-09,-0.071,
2014-10,-0.050,
2014-11,-0.036,
2014-12,-0.101,Provisional value
