"",BBK01.OEAK03R,BBK01.OEAK03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:20,
2002-01,0.206,
2002-04,0.199,
2002-07,0.187,
2002-10,0.189,
2003-01,0.170,
2003-04,0.161,
2003-07,0.159,
2003-10,0.159,
2004-01,0.150,
2004-04,0.139,
2004-07,0.143,
2004-10,0.138,
2005-01,0.127,
2005-04,0.122,
2005-07,0.124,
2005-10,0.121,
2006-01,0.116,
2006-04,0.115,
2006-07,0.120,
2006-10,0.131,
2007-01,0.127,
2007-04,0.160,
2007-07,0.130,
2007-10,0.145,
2008-01,0.161,
2008-04,0.177,
2008-07,0.187,
2008-10,0.196,
2009-01,0.162,
2009-04,0.142,
2009-07,0.122,
2009-10,0.094,
2010-01,0.085,
2010-04,0.077,
2010-07,0.075,
2010-10,0.075,
2011-01,0.079,
2011-04,0.069,
2011-07,0.074,
2011-10,0.081,
2012-01,0.086,
2012-04,0.083,
2012-07,0.075,
2012-10,0.068,
2013-01,0.064,
2013-04,0.065,
2013-07,0.059,
2013-10,0.059,
2014-01,0.056,
2014-04,0.054,
2014-07,0.050,
