"",BBK01.OEXI09U,BBK01.OEXI09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:25,
2002-01,0.296,
2002-04,0.283,
2002-07,0.302,
2002-10,0.291,
2003-01,0.263,
2003-04,0.237,
2003-07,0.217,
2003-10,0.208,
2004-01,0.202,
2004-04,0.188,
2004-07,0.177,
2004-10,0.169,
2005-01,0.179,
2005-04,0.167,
2005-07,0.130,
2005-10,0.129,
2006-01,0.126,
2006-04,0.140,
2006-07,0.150,
2006-10,0.169,
2007-01,0.255,
2007-04,0.286,
2007-07,0.320,
2007-10,0.385,
2008-01,0.430,
2008-04,0.456,
2008-07,0.480,
2008-10,0.627,
2009-01,0.601,
2009-04,0.569,
2009-07,0.561,
2009-10,0.486,
2010-01,0.408,
2010-04,0.393,
2010-07,0.368,
2010-10,0.455,
2011-01,0.519,
2011-04,0.539,
2011-07,0.550,
2011-10,0.540,
2012-01,0.519,
2012-04,0.526,
2012-07,0.501,
2012-10,0.438,
2013-01,0.383,
2013-04,0.343,
2013-07,0.320,
2013-10,0.299,
2014-01,0.283,
2014-04,0.266,
2014-07,0.321,
