"",BBFB1.Q.N.DE.AU.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:51,
1991-01,35.112,
1991-04,105.866,
1991-07,-192.397,
1991-10,15.407,
1992-01,83.936,
1992-04,12.443,
1992-07,50.697,
1992-10,130.050,
1993-01,-148.186,
1993-04,218.246,
1993-07,-21.804,
1993-10,-70.607,
1994-01,187.335,
1994-04,-108.576,
1994-07,64.928,
1994-10,-90.460,
1995-01,67.698,
1995-04,62.793,
1995-07,-122.518,
1995-10,96.651,
1996-01,-38.515,
1996-04,34.658,
1996-07,137.275,
1996-10,-12.477,
1997-01,-127.916,
1997-04,58.646,
1997-07,-6.634,
1997-10,55.661,
1998-01,-11.698,
1998-04,105.958,
1998-07,205.408,
1998-10,50.068,
1999-01,120.632,
1999-04,216.192,
1999-07,353.056,
1999-10,168.550,
2000-01,-361.145,
2000-04,236.260,
2000-07,-175.166,
2000-10,146.456,
2001-01,-367.254,
2001-04,-446.986,
2001-07,-118.899,
2001-10,499.854,
2002-01,102.541,
2002-04,-645.023,
2002-07,273.281,
2002-10,64.129,
2003-01,336.932,
2003-04,167.500,
2003-07,-15.645,
2003-10,-401.889,
2004-01,-32.183,
2004-04,964.582,
2004-07,-875.594,
2004-10,-88.198,
2005-01,-434.708,
2005-04,1092.923,
2005-07,244.094,
2005-10,-378.583,
2006-01,383.416,
2006-04,301.063,
2006-07,-404.396,
2006-10,366.620,
2007-01,1861.233,
2007-04,1297.018,
2007-07,-1472.191,
2007-10,-708.837,
2008-01,1210.473,
2008-04,-645.195,
2008-07,-291.005,
2008-10,638.799,
2009-01,209.633,
2009-04,531.260,
2009-07,-1199.293,
2009-10,20.292,
2010-01,27.166,
2010-04,-141.710,
2010-07,-517.110,
2010-10,139.960,
2011-01,200.514,
2011-04,-10.609,
2011-07,34.608,
2011-10,405.343,
2012-01,-481.079,
2012-04,483.763,
2012-07,268.105,
2012-10,815.511,
2013-01,-969.773,
2013-04,-462.196,
2013-07,-1329.383,
2013-10,-209.441,
2014-01,86.698,Provisional value
2014-04,-91.556,Provisional value
2014-07,-86.945,Provisional value
2014-10,9.773,Provisional value
