"",BBK01.OEXB14I,BBK01.OEXB14I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:13,
2002-01,0.669,
2002-04,0.622,
2002-07,0.610,
2002-10,0.615,
2003-01,0.572,
2003-04,0.571,
2003-07,0.419,
2003-10,0.354,
2004-01,0.322,
2004-04,0.306,
2004-07,0.294,
2004-10,0.269,
2005-01,0.276,
2005-04,0.285,
2005-07,0.269,
2005-10,0.225,
2006-01,0.202,
2006-04,0.198,
2006-07,0.150,
2006-10,0.254,
2007-01,0.253,
2007-04,0.248,
2007-07,0.239,
2007-10,0.211,
2008-01,0.215,
2008-04,0.221,
2008-07,0.231,
2008-10,0.255,
2009-01,0.288,
2009-04,0.292,
2009-07,0.287,
2009-10,0.304,
2010-01,0.303,
2010-04,0.290,
2010-07,0.304,
2010-10,0.282,
2011-01,0.274,
2011-04,0.276,
2011-07,0.268,
2011-10,0.244,
2012-01,0.244,
2012-04,0.249,
2012-07,0.250,
2012-10,0.259,
2013-01,0.246,
2013-04,0.249,
2013-07,0.234,
2013-10,0.239,
2014-01,0.235,
2014-04,0.223,
2014-07,0.236,
