"",BBK01.CEBKN0,BBK01.CEBKN0_FLAGS
"",Other equity debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:00,
1991-01,45.8,
1991-04,47.3,
1991-07,49.1,
1991-10,55.0,
1992-01,56.4,
1992-04,57.9,
1992-07,59.8,
1992-10,61.9,
1993-01,63.3,
1993-04,65.0,
1993-07,67.0,
1993-10,75.4,
1994-01,77.0,
1994-04,78.9,
1994-07,80.3,
1994-10,79.2,
1995-01,83.7,
1995-04,87.2,
1995-07,88.6,
1995-10,82.8,
1996-01,85.8,
1996-04,88.6,
1996-07,92.0,
1996-10,101.6,
1997-01,104.3,
1997-04,107.2,
1997-07,111.1,
1997-10,124.9,
1998-01,130.3,
1998-04,135.1,
1998-07,143.7,
1998-10,116.7,
1999-01,122.5,
1999-04,140.6,
1999-07,147.0,
1999-10,147.3,
2000-01,160.0,
2000-04,169.5,
2000-07,183.3,
2000-10,240.9,
2001-01,236.9,
2001-04,239.8,
2001-07,252.6,
2001-10,299.4,
2002-01,302.3,
2002-04,306.3,
2002-07,312.9,
2002-10,257.9,
2003-01,262.0,
2003-04,265.0,
2003-07,271.3,
2003-10,271.3,
2004-01,250.7,
2004-04,255.1,
2004-07,257.8,
2004-10,271.1,
2005-01,283.2,
2005-04,309.0,
2005-07,319.9,
2005-10,360.3,
2006-01,360.9,
2006-04,353.4,
2006-07,373.1,
2006-10,404.3,
2007-01,431.9,
2007-04,451.1,
2007-07,463.7,
2007-10,475.3,
2008-01,455.8,
2008-04,467.0,
2008-07,480.0,
2008-10,449.6,
2009-01,453.0,
2009-04,469.1,
2009-07,473.1,
2009-10,475.2,
2010-01,510.3,
2010-04,545.0,
2010-07,522.8,
2010-10,532.4,
2011-01,527.4,
2011-04,530.4,
2011-07,546.2,
2011-10,559.5,
2012-01,572.7,
2012-04,594.9,
2012-07,604.5,
2012-10,611.4,
2013-01,624.8,
2013-04,616.8,
2013-07,618.0,
2013-10,617.0,
2014-01,627.0,
