"",BBK01.OEHI05O,BBK01.OEHI05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:52,
2002-01,0.169,
2002-04,0.171,
2002-07,0.173,
2002-10,0.172,
2003-01,0.166,
2003-04,0.166,
2003-07,0.164,
2003-10,0.170,
2004-01,0.156,
2004-04,0.156,
2004-07,0.149,
2004-10,0.149,
2005-01,0.138,
2005-04,0.125,
2005-07,0.121,
2005-10,0.121,
2006-01,0.111,
2006-04,0.106,
2006-07,0.108,
2006-10,0.096,
2007-01,0.090,
2007-04,0.087,
2007-07,0.088,
2007-10,0.092,
2008-01,0.091,
2008-04,0.081,
2008-07,0.077,
2008-10,0.585,
2009-01,0.078,
2009-04,0.080,
2009-07,0.084,
2009-10,0.085,
2010-01,0.093,
2010-04,0.084,
2010-07,0.085,
2010-10,0.073,
2011-01,0.066,
2011-04,0.057,
2011-07,0.058,
2011-10,0.048,
2012-01,0.040,
2012-04,0.044,
2012-07,0.040,
2012-10,0.035,
2013-01,0.031,
2013-04,0.032,
2013-07,0.035,
2013-10,0.054,
2014-01,0.049,
2014-04,0.047,
2014-07,0.048,
