"",BBK01.BQM108,BBK01.BQM108_FLAGS
"",Central government debt - of which loans - of which short-term,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:37,
2000-01,15438,
2000-04,9447,
2000-07,20538,
2000-10,2227,
2001-01,17714,
2001-04,5056,
2001-07,7310,
2001-10,4765,
2002-01,19790,
2002-04,5375,
2002-07,2592,
2002-10,6863,
2003-01,11635,
2003-04,13645,
2003-07,19622,
2003-10,8208,
2004-01,21814,
2004-04,15869,
2004-07,13555,
2004-10,10241,
2005-01,21428,
2005-04,19973,
2005-07,21019,
2005-10,15379,
2006-01,23467,
2006-04,23491,
2006-07,29868,
2006-10,18212,
2007-01,31225,
2007-04,36817,
2007-07,32082,
2007-10,19408,
2008-01,32317,
2008-04,37172,
2008-07,26380,
2008-10,36812,
2009-01,27307,
2009-04,24221,
2009-07,26069,
2009-10,21295,
2010-01,17306,Provisional value
2010-04,14828,Provisional value
2010-07,16033,Provisional value
2010-10,174177,Provisional value
2011-01,151865,Provisional value
2011-04,138978,Provisional value
2011-07,136280,Provisional value
2011-10,138112,Provisional value
2012-01,119568,Provisional value
2012-04,121754,Provisional value
2012-07,95156,Provisional value
2012-10,88311,Provisional value
2013-01,75251,Provisional value
2013-04,77928,Provisional value
2013-07,60103,Provisional value
2013-10,64897,Provisional value
2014-01,52375,Provisional value
2014-04,52597,Provisional value
2014-07,51950,Provisional value
