"",BBK01.OEAC22S,BBK01.OEAC22S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:04,
2002-01,0.151,
2002-04,0.100,
2002-07,0.099,
2002-10,0.094,
2003-01,0.094,
2003-04,0.089,
2003-07,0.072,
2003-10,0.094,
2004-01,0.093,
2004-04,0.086,
2004-07,0.085,
2004-10,0.070,
2005-01,0.074,
2005-04,0.072,
2005-07,0.068,
2005-10,0.056,
2006-01,0.032,
2006-04,0.029,
2006-07,0.028,
2006-10,0.025,
2007-01,0.026,
2007-04,0.030,
2007-07,0.024,
2007-10,0.025,
2008-01,0.026,
2008-04,0.026,
2008-07,0.025,
2008-10,0.030,
2009-01,0.040,
2009-04,0.038,
2009-07,0.025,
2009-10,0.023,
2010-01,0.028,
2010-04,0.025,
2010-07,0.022,
2010-10,0.022,
2011-01,0.025,
2011-04,0.027,
2011-07,0.023,
2011-10,0.021,
2012-01,0.027,
2012-04,0.026,
2012-07,0.024,
2012-10,0.023,
2013-01,0.026,
2013-04,0.027,
2013-07,0.024,
2013-10,0.024,
2014-01,0.027,
2014-04,0.026,
2014-07,0.023,
