"",BBFB1.Q.N.DE.PT.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:31,
1991-01,605.146,
1991-04,565.615,
1991-07,555.507,
1991-10,612.768,
1992-01,641.804,
1992-04,586.462,
1992-07,630.538,
1992-10,696.414,
1993-01,594.789,
1993-04,535.886,
1993-07,596.874,
1993-10,596.207,
1994-01,592.349,
1994-04,596.649,
1994-07,613.727,
1994-10,668.821,
1995-01,798.811,
1995-04,740.692,
1995-07,798.136,
1995-10,905.093,
1996-01,958.498,
1996-04,929.983,
1996-07,892.513,
1996-10,1011.401,
1997-01,983.611,
1997-04,1144.503,
1997-07,992.118,
1997-10,1102.014,
1998-01,1062.637,
1998-04,1085.571,
1998-07,1042.297,
1998-10,1092.990,
1999-01,1012.068,
1999-04,1174.011,
1999-07,1069.512,
1999-10,1140.142,
2000-01,1113.987,
2000-04,1174.303,
2000-07,1221.507,
2000-10,1503.556,
2001-01,1259.626,
2001-04,1128.265,
2001-07,1198.589,
2001-10,1184.492,
2002-01,1056.883,
2002-04,1130.456,
2002-07,1151.951,
2002-10,1250.793,
2003-01,1136.534,
2003-04,1198.559,
2003-07,1137.533,
2003-10,1265.705,
2004-01,1221.326,
2004-04,1066.129,
2004-07,1040.881,
2004-10,1053.282,
2005-01,937.135,
2005-04,968.251,
2005-07,931.530,
2005-10,986.968,
2006-01,967.761,
2006-04,965.618,
2006-07,889.537,
2006-10,1008.617,
2007-01,965.219,
2007-04,914.336,
2007-07,953.221,
2007-10,959.015,
2008-01,1055.735,
2008-04,950.674,
2008-07,950.744,
2008-10,852.042,
2009-01,806.745,
2009-04,828.214,
2009-07,798.083,
2009-10,862.148,
2010-01,910.340,
2010-04,964.119,
2010-07,953.984,
2010-10,975.375,
2011-01,1115.062,
2011-04,1150.487,
2011-07,1102.802,
2011-10,1130.097,
2012-01,1190.284,
2012-04,1148.992,
2012-07,1173.902,
2012-10,1158.976,
2013-01,1177.810,
2013-04,1238.184,
2013-07,1217.193,
2013-10,1282.014,
2014-01,1281.194,Provisional value
2014-04,1295.098,Provisional value
2014-07,1286.173,Provisional value
