"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D.F519._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D.F519._Z._T.M.N_FLAGS
"",IIP - Direct investment - Other equity (e.g. real estate) - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:39,
1999-10,80062,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,152909,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,122737,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,138612,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,161871,
2004-01,166273,
2004-04,165374,
2004-07,168420,
2004-10,161230,
2005-01,177994,
2005-04,181041,
2005-07,182862,
2005-10,154591,
2006-01,155862,
2006-04,154928,
2006-07,153249,
2006-10,160106,
2007-01,164962,
2007-04,165801,
2007-07,167545,
2007-10,170584,
2008-01,173695,
2008-04,171756,
2008-07,167626,
2008-10,208266,
2009-01,207642,
2009-04,204476,
2009-07,199792,
2009-10,213329,
2010-01,216292,
2010-04,216267,
2010-07,220456,
2010-10,222524,
2011-01,229917,
2011-04,231193,
2011-07,238331,
2011-10,245682,
2012-01,247093,
2012-04,247081,
2012-07,244538,
2012-10,240590,
2013-01,240233,
2013-04,239780,
2013-07,240465,
2013-10,245137,
2014-01,246662,
2014-04,246779,
2014-07,248437,
