"",BBSF2.M.1.S.00000.DAC01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:39,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,16,
2009-12,-,Nothing exists
2010-01,0,
2010-02,0,
2010-03,0,
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,-,Nothing exists
2010-07,0,
2010-08,1,
2010-09,771,
2010-10,10,
2010-11,6,
2010-12,12,
2011-01,0,
2011-02,0,
2011-03,0,
2011-04,0,
2011-05,5,
2011-06,1,
2011-07,0,
2011-08,0,
2011-09,0,
2011-10,10,
2011-11,0,
2011-12,7,
2012-01,14,
2012-02,14,
2012-03,14,
2012-04,14,
2012-05,15,
2012-06,14,
2012-07,290,
2012-08,15,
2012-09,13,
2012-10,20,
2012-11,14,
2012-12,16,
2013-01,14,
2013-02,0,
2013-03,1,
2013-04,19,
2013-05,1,
2013-06,0,
2013-07,2,
2013-08,29,
2013-09,4,
2013-10,18,
2013-11,0,
2013-12,0,
2014-01,1,
2014-02,0,
2014-03,18,
2014-04,0,
2014-05,6,
2014-06,13,
2014-07,2,
2014-08,2,
2014-09,1,
2014-10,0,
2014-11,20,
