"",BBFB1.Q.N.DE.SE.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:31,
1991-01,117.800,
1991-04,1030.454,
1991-07,-921.976,
1991-10,-447.465,
1992-01,410.861,
1992-04,-170.330,
1992-07,-1138.677,
1992-10,424.789,
1993-01,-2.484,
1993-04,-0.790,
1993-07,793.701,
1993-10,365.567,
1994-01,146.720,
1994-04,277.248,
1994-07,-378.245,
1994-10,288.585,
1995-01,1234.411,
1995-04,158.539,
1995-07,239.447,
1995-10,1359.507,
1996-01,360.941,
1996-04,-192.887,
1996-07,-74.415,
1996-10,902.654,
1997-01,1238.199,
1997-04,41.939,
1997-07,85.274,
1997-10,2189.148,
1998-01,3313.286,
1998-04,2160.143,
1998-07,76.056,
1998-10,3346.822,
1999-01,720.162,
1999-04,6308.117,
1999-07,2075.339,
1999-10,1132.896,
2000-01,1714.574,
2000-04,3133.082,
2000-07,2039.802,
2000-10,-4410.483,
2001-01,-3342.786,
2001-04,3781.052,
2001-07,1309.215,
2001-10,1515.341,
2002-01,1870.022,
2002-04,767.471,
2002-07,-60.017,
2002-10,2366.047,
2003-01,1286.912,
2003-04,1010.832,
2003-07,-2891.619,
2003-10,1900.258,
2004-01,11441.451,
2004-04,-3679.687,
2004-07,-158.197,
2004-10,6128.401,
2005-01,858.677,
2005-04,-1679.360,
2005-07,1397.197,
2005-10,-3631.010,
2006-01,8039.087,
2006-04,-7361.963,
2006-07,1410.945,
2006-10,1319.471,
2007-01,3405.070,
2007-04,2063.609,
2007-07,3205.138,
2007-10,-7592.065,
2008-01,3460.247,
2008-04,1290.508,
2008-07,4175.050,
2008-10,4298.004,
2009-01,-1728.073,
2009-04,3356.963,
2009-07,1478.051,
2009-10,480.970,
2010-01,949.601,
2010-04,1640.494,
2010-07,-512.436,
2010-10,1461.194,
2011-01,142.019,
2011-04,4280.502,
2011-07,-4624.687,
2011-10,3745.058,
2012-01,4025.450,
2012-04,-1066.495,
2012-07,1464.904,
2012-10,1354.225,
2013-01,1653.487,
2013-04,2318.667,
2013-07,1734.754,
2013-10,1177.143,
2014-01,701.927,Provisional value
2014-04,7644.771,Provisional value
2014-07,-735.318,Provisional value
2014-10,-49.193,Provisional value
