"",BBK01.OEAN03G,BBK01.OEAN03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:46,
2002-01,23.208,
2002-04,22.596,
2002-07,22.282,
2002-10,22.779,
2003-01,22.641,
2003-04,22.736,
2003-07,22.530,
2003-10,23.093,
2004-01,22.638,
2004-04,21.792,
2004-07,21.106,
2004-10,20.950,
2005-01,18.240,
2005-04,18.233,
2005-07,18.381,
2005-10,18.364,
2006-01,17.952,
2006-04,17.547,
2006-07,16.599,
2006-10,15.965,
2007-01,15.598,
2007-04,14.858,
2007-07,14.196,
2007-10,14.262,
2008-01,13.741,
2008-04,13.157,
2008-07,12.609,
2008-10,12.362,
2009-01,12.802,
2009-04,13.451,
2009-07,14.061,
2009-10,14.602,
2010-01,14.798,
2010-04,15.384,
2010-07,15.653,
2010-10,15.870,
2011-01,15.878,
2011-04,15.982,
2011-07,15.993,
2011-10,15.977,
2012-01,16.376,
2012-04,16.742,
2012-07,17.098,
2012-10,17.644,
2013-01,17.990,
2013-04,18.368,
2013-07,18.629,
2013-10,19.472,
2014-01,19.810,
2014-04,20.312,
2014-07,20.478,
